id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-01-27 00:09:35.090874,,,,,,f,,{},info,1,1,Phase Change to Nighttime
8,2019-01-27 00:10:52.600966,,,,,,f,,{},info,1,1,Phase Change to Daytime
9,2019-01-27 00:10:52.847903,,,,,,f,,{},info,1,1,Phase Change to Daytime
14,2019-01-27 00:11:11.312827,,,,,,t,2019-01-27 00:24:22.966709,{},text,9,1,Christopher Smith: Hello
24,2019-01-27 00:12:23.159567,,,,,,t,2019-01-27 00:24:22.982292,{},vote,9,1,Christopher Smith: Kimberly Lyons
10,2019-01-27 00:11:00.46529,,,,,,t,2019-01-27 00:27:40.337133,{},text,6,1,Mary Trujillo: hello
20,2019-01-27 00:11:39.635632,,,,,,t,2019-01-27 00:27:40.35116,{},vote,6,1,Mary Trujillo: Troy Thomas
22,2019-01-27 00:11:54.583203,,,,,,t,2019-01-27 00:27:40.378238,{},text,6,1,Mary Trujillo: If you can vote that means you must be in the mafia.
29,2019-01-27 00:13:06.496985,,,,,,t,2019-01-27 00:13:31.682164,{},text,8,1,Troy Thomas: Looks like this should be a win for the mafia if I'm eliminated
26,2019-01-27 00:12:30.216565,,,,,,t,2019-01-27 00:13:31.694473,{},vote,8,1,Troy Thomas: Ryan Hodges
25,2019-01-27 00:12:24.773026,,,,,,t,2019-01-27 00:13:31.703887,{},text,8,1,Troy Thomas: ??
19,2019-01-27 00:11:39.08232,,,,,,t,2019-01-27 00:13:31.712628,{},text,8,1,Troy Thomas: I'm legitimately ignorant but ok
12,2019-01-27 00:11:08.157828,,,,,,t,2019-01-27 00:13:31.721061,{},text,8,1,"Troy Thomas: I don't really understand how we're supposed to know who to vote for, I just chose Bryce Fields at random.."
33,2019-01-27 00:13:32.206785,,,,,,f,,{},info,1,1,Phase Change to Nighttime
34,2019-01-27 00:13:32.303368,,,,,,f,,{},info,1,1,Phase Change to Nighttime
35,2019-01-27 00:13:32.435796,,,,,,f,,{},info,1,1,Phase Change to Nighttime
36,2019-01-27 00:13:32.564076,,,,,,f,,{},info,1,1,Phase Change to Nighttime
