id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-13 18:14:33.125675,,,,,,f,,{},info,1,1,Phase Change to Nighttime
7,2019-03-13 18:15:37.856094,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Frances Kelly
8,2019-03-13 18:15:45.240134,,,,,,f,,{},vote,14,1,Frances Kelly: Shawn Bailey
11,2019-03-13 18:15:58.195739,,,,,,f,,{},text,13,1,Alicia Randall: Bystander here
12,2019-03-13 18:16:02.689486,,,,,,f,,{},text,12,1,Chad Collins: i am a bystander too.
13,2019-03-13 18:16:05.211998,,,,,,f,,{},text,7,1,Gabriel Durham: Bystander too.
17,2019-03-13 18:16:19.777676,,,,,,f,,{},text,13,1,Alicia Randall: Wow isn't that convenient
18,2019-03-13 18:16:22.152594,,,,,,f,,{},text,5,1,Stephen Clark: Right.
20,2019-03-13 18:16:37.43334,,,,,,f,,{},vote,12,1,Chad Collins: Alicia Randall
21,2019-03-13 18:16:43.521121,,,,,,f,,{},vote,5,1,Stephen Clark: Diane Mooney
24,2019-03-13 18:16:56.51649,,,,,,f,,{},vote,13,1,Alicia Randall: Diane Mooney
25,2019-03-13 18:17:02.088206,,,,,,f,,{},vote,7,1,Gabriel Durham: Donna Cook
31,2019-03-13 18:17:52.561416,,,,,,f,,{},text,13,1,Alicia Randall: Noooooo
32,2019-03-13 18:18:10.522055,,,,,,t,2019-03-13 18:18:17.659554,{},text,11,1,Diane Mooney: Jordan may was the first to accuse me. they are mafia
30,2019-03-13 18:17:30.389237,,,,,,t,2019-03-13 18:18:17.669097,{},text,11,1,Diane Mooney: rip me
29,2019-03-13 18:17:26.498426,,,,,,t,2019-03-13 18:18:17.677825,{},text,11,1,Diane Mooney: you guys just killed a bystander
27,2019-03-13 18:17:11.607332,,,,,,t,2019-03-13 18:18:17.685371,{},vote,11,1,Diane Mooney: Jordan May
10,2019-03-13 18:15:47.928922,,,,,,t,2019-03-13 18:18:17.692778,{},text,11,1,Diane Mooney: I am a bystander. dont kill me
33,2019-03-13 18:18:18.374548,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Diane Mooney
19,2019-03-13 18:16:34.578535,,,,,,t,2019-03-13 18:19:27.299718,{},vote,9,1,Jordan May: Diane Mooney
16,2019-03-13 18:16:17.871723,,,,,,t,2019-03-13 18:19:27.307345,{},text,9,1,Jordan May: Bystander here also
39,2019-03-13 18:19:27.742565,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Jordan May
41,2019-03-13 18:19:54.489776,,,,,,f,,{},vote,13,1,Alicia Randall: Shawn Bailey
42,2019-03-13 18:20:08.431849,,,,,,f,,{},text,7,1,"Gabriel Durham: Well, then... "
44,2019-03-13 18:20:31.212967,,,,,,f,,{},vote,5,1,Stephen Clark: Shawn Bailey
45,2019-03-13 18:20:33.474946,,,,,,f,,{},vote,12,1,Chad Collins: Donna Cook
