id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-01-27 02:00:03.323726,,,,,,f,,{},info,1,1,Phase Change to Nighttime
2,2019-01-27 02:00:32.562585,,,,,,f,,{},vote,4,1,Wendy White: Christopher Bailey
3,2019-01-27 02:00:34.564959,,,,,,f,,{},text,2,1,Nicolas Cole: I say lets get rid of Gregory
4,2019-01-27 02:01:10.719531,,,,,,f,,{},info,1,1,Phase Change to Daytime
7,2019-01-27 02:01:26.058459,,,,,,f,,{},text,8,1,Danielle Castro: hey
12,2019-01-27 02:01:43.533825,,,,,,f,,{},text,4,1,Wendy White: Hi!
13,2019-01-27 02:01:44.322544,,,,,,f,,{},text,6,1,"Robin Rodriguez: So, how's all you'se doin'."
15,2019-01-27 02:01:53.432055,,,,,,f,,{},text,2,1,Nicolas Cole: hi yall
16,2019-01-27 02:01:58.076852,,,,,,f,,{},text,8,1,Danielle Castro: whodunnit
18,2019-01-27 02:02:20.220524,,,,,,f,,{},text,4,1,Wendy White: Is that English?
20,2019-01-27 02:02:24.368231,,,,,,f,,{},text,8,1,Danielle Castro: colonel mustard in the library with the candlestick
22,2019-01-27 02:02:29.010003,,,,,,f,,{},vote,2,1,Nicolas Cole: Matthew Taylor
24,2019-01-27 02:02:38.631458,,,,,,f,,{},text,8,1,Danielle Castro: wrong game
27,2019-01-27 02:02:56.05675,,,,,,f,,{},vote,4,1,Wendy White: Matthew Taylor
28,2019-01-27 02:02:59.653189,,,,,,f,,{},text,2,1,Nicolas Cole: who's the mouthiest???
29,2019-01-27 02:03:04.020641,,,,,,f,,{},text,6,1,Robin Rodriguez: You'se better not be think'in of pushin' a button on Robin Lefty Rodriguez!
32,2019-01-27 02:03:22.941279,,,,,,f,,{},text,8,1,Danielle Castro: eyy fuggeddaboutit
33,2019-01-27 02:03:45.129067,,,,,,f,,{},vote,8,1,Danielle Castro: Chelsea Cook
34,2019-01-27 02:03:49.513238,,,,,,f,,{},text,6,1,Robin Rodriguez: Hey I'm just playin' wit' you'se.
30,2019-01-27 02:03:13.243838,,,,,,t,2019-01-27 02:03:51.846127,{},text,11,1,Matthew Taylor: who do you all want eliminate?
26,2019-01-27 02:02:53.405336,,,,,,t,2019-01-27 02:03:51.863983,{},text,11,1,Matthew Taylor: just chat
25,2019-01-27 02:02:41.070603,,,,,,t,2019-01-27 02:03:51.884016,{},text,11,1,Matthew Taylor: oh really
17,2019-01-27 02:02:11.751462,,,,,,t,2019-01-27 02:03:51.922143,{},text,11,1,Matthew Taylor: going to eliminate you..ah aha
8,2019-01-27 02:01:29.3936,,,,,,t,2019-01-27 02:03:51.955152,{},vote,11,1,Matthew Taylor: Gregory Ware
6,2019-01-27 02:01:22.952238,,,,,,t,2019-01-27 02:03:51.994793,{},text,11,1,Matthew Taylor: hello
35,2019-01-27 02:03:54.394433,,,,,,f,,{},info,1,1,Phase Change to Nighttime
36,2019-01-27 02:03:54.461697,,,,,,f,,{},info,1,1,Phase Change to Nighttime
37,2019-01-27 02:03:54.660765,,,,,,f,,{},info,1,1,Phase Change to Nighttime
38,2019-01-27 02:03:54.904263,,,,,,f,,{},info,1,1,Phase Change to Nighttime
39,2019-01-27 02:03:55.233224,,,,,,f,,{},text,2,1,Nicolas Cole: Matt has a lot to say...
40,2019-01-27 02:03:55.939006,,,,,,f,,{},info,1,1,Phase Change to Nighttime
41,2019-01-27 02:03:56.309858,,,,,,f,,{},info,1,1,Phase Change to Nighttime
42,2019-01-27 02:04:10.057813,,,,,,f,,{},text,4,1,Wendy White: Hey
43,2019-01-27 02:04:21.4675,,,,,,f,,{},text,4,1,Wendy White: OH yeah
44,2019-01-27 02:04:35.875949,,,,,,f,,{},text,2,1,"Nicolas Cole: Hi, I vote for Amanda"
45,2019-01-27 02:04:55.509863,,,,,,f,,{},text,2,1,Nicolas Cole: It's too dark to see the screen
46,2019-01-27 02:05:00.791958,,,,,,f,,{},info,1,1,Phase Change to Daytime
47,2019-01-27 02:05:01.153416,,,,,,f,,{},info,1,1,Phase Change to Daytime
49,2019-01-27 02:05:36.091913,,,,,,f,,{},vote,6,1,Robin Rodriguez: Amanda Pearson
50,2019-01-27 02:05:38.677494,,,,,,f,,{},text,2,1,Nicolas Cole: Yeah lets kill off Matthew!
