id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-15 22:37:41.366949,,,,,,f,,{},info,1,1,Phase Change to Nighttime
3,2019-03-15 22:38:19.575023,,,,,,f,,{},text,3,1,Jesse Martin: Want to eliminate Mary?
5,2019-03-15 22:38:44.937744,,,,,,f,,{},vote,3,1,Jesse Martin: Mary Blake
6,2019-03-15 22:39:07.727296,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Mary Blake
12,2019-03-15 22:39:31.009967,,,,,,f,,{},text,3,1,Jesse Martin: hello
15,2019-03-15 22:39:39.60878,,,,,,f,,{},text,11,1,Rebecca Patterson: hey!
16,2019-03-15 22:39:46.181289,,,,,,f,,{},text,3,1,Jesse Martin: How is everyone?
25,2019-03-15 22:40:26.689839,,,,,,f,,{},text,3,1,Jesse Martin: Mary
26,2019-03-15 22:40:31.636823,,,,,,f,,{},vote,3,1,Jesse Martin: Mary Reed
27,2019-03-15 22:40:36.387154,,,,,,f,,{},vote,11,1,Rebecca Patterson: William Rubio
17,2019-03-15 22:39:51.737984,,,,,,t,2019-03-15 22:41:47.548762,{},vote,12,1,William Rubio: Ricky Mcneil
35,2019-03-15 22:41:48.167595,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - William Rubio
37,2019-03-15 22:42:08.608818,,,,,,f,,{},text,3,1,Jesse Martin: Who should we eliminate
39,2019-03-15 22:42:31.143024,,,,,,f,,{},text,3,1,Jesse Martin: Sounds good
40,2019-03-15 22:42:36.266376,,,,,,f,,{},vote,3,1,Jesse Martin: Mary Reed
28,2019-03-15 22:40:43.43265,,,,,,t,2019-03-15 22:42:57.234504,{},text,6,1,Mary Reed: William Rubio
14,2019-03-15 22:39:36.95136,,,,,,t,2019-03-15 22:42:57.244745,{},vote,6,1,Mary Reed: William Rubio
11,2019-03-15 22:39:30.790301,,,,,,t,2019-03-15 22:42:57.256551,{},text,6,1,Mary Reed: hello
41,2019-03-15 22:42:57.602508,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Mary Reed
43,2019-03-15 22:43:12.887153,,,,,,f,,{},text,3,1,"Jesse Martin: Hello, who should we eliminate?"
50,2019-03-15 22:44:02.861482,,,,,,f,,{},vote,11,1,Rebecca Patterson: Ricky Mcneil
54,2019-03-15 22:44:20.962457,,,,,,f,,{},text,3,1,Jesse Martin: Poor Ricky lol
60,2019-03-15 22:45:13.821399,,,,,,f,,{},vote,3,1,Jesse Martin: Rebecca Patterson
2,2019-03-15 22:38:10.489389,,,,,,t,2019-03-15 22:45:37.460777,{},text,2,1,"Ricky Mcneil: Hi, this is Ricky, don't vote for me!"
4,2019-03-15 22:38:35.241426,,,,,,t,2019-03-15 22:45:37.469341,{},text,2,1,Ricky Mcneil: I agree to eliminate Mary
18,2019-03-15 22:39:56.559766,,,,,,t,2019-03-15 22:45:37.478383,{},text,2,1,Ricky Mcneil: Shall we vote out Mary Reed
21,2019-03-15 22:40:04.137295,,,,,,t,2019-03-15 22:45:37.48512,{},vote,2,1,Ricky Mcneil: William Rubio
38,2019-03-15 22:42:13.068278,,,,,,t,2019-03-15 22:45:37.497494,{},text,2,1,Ricky Mcneil: Who to vote out? Mary Reed?
46,2019-03-15 22:43:33.122616,,,,,,t,2019-03-15 22:45:37.508185,{},text,2,1,Ricky Mcneil: Vote out Kimberly
52,2019-03-15 22:44:06.625012,,,,,,t,2019-03-15 22:45:37.520862,{},text,2,1,Ricky Mcneil: Ricky is a sweetheart
56,2019-03-15 22:44:31.312195,,,,,,t,2019-03-15 22:45:37.53127,{},vote,2,1,Ricky Mcneil: Kimberly Harrison
59,2019-03-15 22:44:44.206786,,,,,,t,2019-03-15 22:45:37.541538,{},text,2,1,Ricky Mcneil: I will haunt you
62,2019-03-15 22:45:37.904599,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Ricky Mcneil
63,2019-03-15 22:45:54.276787,,,,,,f,,{},text,3,1,Jesse Martin: Oh no ricky lol
64,2019-03-15 22:46:02.455829,,,,,,f,,{},vote,3,1,Jesse Martin: Kimberly Harrison
9,2019-03-15 22:39:27.777267,,,,,,t,2019-03-15 22:46:47.252293,{},text,10,1,Kimberly Harrison: Hello
13,2019-03-15 22:39:32.581937,,,,,,t,2019-03-15 22:46:47.292339,{},text,10,1,Kimberly Harrison: Hi! 
20,2019-03-15 22:39:58.385934,,,,,,t,2019-03-15 22:46:47.331916,{},text,10,1,"Kimberly Harrison: Great! So, who do we vote for?"
24,2019-03-15 22:40:19.396199,,,,,,t,2019-03-15 22:46:47.349841,{},text,10,1,Kimberly Harrison: LOL touche
29,2019-03-15 22:40:44.81198,,,,,,t,2019-03-15 22:46:47.386982,{},text,10,1,Kimberly Harrison: Looks like William isn't doing so hot
30,2019-03-15 22:40:52.063125,,,,,,t,2019-03-15 22:46:47.416243,{},vote,10,1,Kimberly Harrison: William Rubio
67,2019-03-15 22:47:02.914078,,,,,,f,,{},text,3,1,Jesse Martin: Good Morning!
76,2019-03-15 22:47:57.711081,,,,,,f,,{},text,3,1,Jesse Martin: Jeffery
77,2019-03-15 22:48:01.66674,,,,,,f,,{},vote,3,1,Jesse Martin: Jeffrey Miles
