id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-01-28 18:43:06.064307,,,,,,f,,{},info,1,1,Phase Change to Nighttime
6,2019-01-28 18:44:17.646403,,,,,,f,,{},info,1,1,Phase Change to Daytime
7,2019-01-28 18:44:17.991826,,,,,,f,,{},info,1,1,Phase Change to Daytime
9,2019-01-28 18:44:29.674958,,,,,,f,,{},text,5,1,Jean Griffin: Hello
10,2019-01-28 18:44:35.143688,,,,,,f,,{},text,6,1,Gregory Martinez: hello
11,2019-01-28 18:44:35.639188,,,,,,f,,{},text,5,1,Jean Griffin: who do we eliminate ?
13,2019-01-28 18:44:38.910705,,,,,,f,,{},text,12,1,Jason Davis: Hi!
16,2019-01-28 18:44:52.216331,,,,,,f,,{},text,12,1,Jason Davis: lol
17,2019-01-28 18:44:58.253413,,,,,,f,,{},text,12,1,Jason Davis: I vote for JOhn
18,2019-01-28 18:45:00.486609,,,,,,f,,{},vote,6,1,Gregory Martinez: John Thompson
19,2019-01-28 18:45:02.023636,,,,,,f,,{},vote,12,1,Jason Davis: John Thompson
20,2019-01-28 18:45:05.127186,,,,,,f,,{},vote,13,1,Rhonda Morris: John Thompson
23,2019-01-28 18:45:09.039013,,,,,,f,,{},text,5,1,Jean Griffin: voting for john then
25,2019-01-28 18:45:14.547441,,,,,,f,,{},vote,5,1,Jean Griffin: John Thompson
27,2019-01-28 18:45:37.288319,,,,,,t,2019-01-28 18:46:56.717766,{},vote,3,1,John Thompson: Cynthia Stokes
8,2019-01-28 18:44:23.159822,,,,,,t,2019-01-28 18:46:56.747994,{},text,3,1,John Thompson: Ok I too will vote that
3,2019-01-28 18:43:53.36643,,,,,,t,2019-01-28 18:46:56.770289,{},text,3,1,John Thompson: HI
28,2019-01-28 18:46:58.561479,,,,,,f,,{},info,1,1,Phase Change to Nighttime
29,2019-01-28 18:46:58.618452,,,,,,f,,{},info,1,1,Phase Change to Nighttime
30,2019-01-28 18:46:58.951124,,,,,,f,,{},info,1,1,Phase Change to Nighttime
31,2019-01-28 18:46:59.249464,,,,,,f,,{},info,1,1,Phase Change to Nighttime
32,2019-01-28 18:46:59.41516,,,,,,f,,{},info,1,1,Phase Change to Nighttime
