id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-15 01:55:34.174663,,,,,,f,,{},info,1,1,Phase Change to Nighttime
2,2019-03-15 01:55:55.477207,,,,,,f,,{},text,2,1,Natasha Cooke: Hello there
3,2019-03-15 01:55:55.837232,,,,,,f,,{},text,4,1,Michael Williams: Stacy Dillon is a snitch.
4,2019-03-15 01:56:07.040363,,,,,,f,,{},vote,4,1,Michael Williams: Stacy Dillon
5,2019-03-15 01:56:12.292791,,,,,,f,,{},vote,2,1,Natasha Cooke: Ashley Lowe
6,2019-03-15 01:56:39.813085,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Ashley Lowe
9,2019-03-15 01:56:57.855565,,,,,,f,,{},text,2,1,Natasha Cooke: How do you know that
12,2019-03-15 01:57:03.983496,,,,,,f,,{},text,4,1,Michael Williams: Stacy Dillon is a snitch.
16,2019-03-15 01:57:12.759027,,,,,,f,,{},text,13,1,Alicia Diaz: Hello
19,2019-03-15 01:57:30.096438,,,,,,f,,{},vote,2,1,Natasha Cooke: Stacy Dillon
24,2019-03-15 01:57:55.245952,,,,,,f,,{},vote,13,1,Alicia Diaz: Michael Williams
27,2019-03-15 01:58:32.89284,,,,,,f,,{},vote,4,1,Michael Williams: Stacy Dillon
31,2019-03-15 01:59:17.903711,,,,,,f,,{},vote,10,1,Ashley Adams: Aaron Morse
32,2019-03-15 01:59:19.123676,,,,,,t,2019-03-15 01:59:20.138643,{},text,7,1,Stacy Dillon: nice
30,2019-03-15 01:59:12.02456,,,,,,t,2019-03-15 01:59:20.171593,{},text,7,1,Stacy Dillon: we just lost didn't we?
23,2019-03-15 01:57:50.460016,,,,,,t,2019-03-15 01:59:20.198353,{},text,7,1,Stacy Dillon: you just know i'm not mafia so I'm being targeted
20,2019-03-15 01:57:31.292294,,,,,,t,2019-03-15 01:59:20.220708,{},vote,7,1,Stacy Dillon: Michael Williams
15,2019-03-15 01:57:12.342056,,,,,,t,2019-03-15 01:59:20.233367,{},text,7,1,"Stacy Dillon: okay, who here is mafia?"
33,2019-03-15 01:59:21.234411,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Stacy Dillon
34,2019-03-15 02:00:06.783376,,,,,,f,,{},text,4,1,Michael Williams: I will eliminate whoever Natasha chooses.
35,2019-03-15 02:00:16.31468,,,,,,f,,{},text,2,1,Natasha Cooke: Only mafia can talk at night
36,2019-03-15 02:00:29.966221,,,,,,f,,{},info,1,1,Phase Change to Daytime
42,2019-03-15 02:00:56.347677,,,,,,f,,{},vote,4,1,Michael Williams: Kyle Mack
43,2019-03-15 02:00:58.743475,,,,,,f,,{},text,2,1,Natasha Cooke: William I am on your side.
46,2019-03-15 02:01:11.611863,,,,,,f,,{},text,2,1,Natasha Cooke: See the list below for living 
47,2019-03-15 02:01:17.519256,,,,,,f,,{},vote,2,1,Natasha Cooke: Adam Ward
38,2019-03-15 02:00:41.729397,,,,,,t,2019-03-15 02:01:31.3024,{},text,14,1,Kyle Mack: Hey
29,2019-03-15 01:59:05.615685,,,,,,t,2019-03-15 02:01:31.31954,{},text,14,1,Kyle Mack: are you there
28,2019-03-15 01:59:01.494436,,,,,,t,2019-03-15 02:01:31.334243,{},text,14,1,Kyle Mack: hello
26,2019-03-15 01:58:24.133132,,,,,,t,2019-03-15 02:01:31.345474,{},text,14,1,Kyle Mack: the single person
25,2019-03-15 01:58:01.241346,,,,,,t,2019-03-15 02:01:31.360902,{},text,14,1,Kyle Mack: The mafia is center of person
