id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-12 01:07:38.970024,,,,,,f,,{},info,1,1,Phase Change to Nighttime
3,2019-03-12 01:07:51.577998,,,,,,f,,{},text,3,1,Timothy Moore: Hey
6,2019-03-12 01:08:23.408616,,,,,,f,,{},text,3,1,Timothy Moore: haha you too
8,2019-03-12 01:08:44.451227,,,,,,f,,{},info,1,1,Phase Change to Daytime
9,2019-03-12 01:08:51.819626,,,,,,f,,{},text,8,1,Laura Baldwin: Hi!
13,2019-03-12 01:09:04.893344,,,,,,f,,{},text,3,1,Timothy Moore: What's up everyone
16,2019-03-12 01:09:13.371903,,,,,,f,,{},text,8,1,Laura Baldwin: How is everyone?
22,2019-03-12 01:09:27.186705,,,,,,f,,{},vote,8,1,Laura Baldwin: Alexander Ford
27,2019-03-12 01:10:31.811416,,,,,,f,,{},text,8,1,Laura Baldwin: Ditto David. Feels good!
30,2019-03-12 01:11:01.768319,,,,,,f,,{},vote,3,1,Timothy Moore: Tyrone Mckee
31,2019-03-12 01:11:16.916404,,,,,,t,2019-03-12 01:11:25.2216,{},text,2,1,Daniel Mayer: Nope not me
20,2019-03-12 01:09:22.559504,,,,,,t,2019-03-12 01:11:25.243414,{},vote,2,1,Daniel Mayer: Alexander Ford
18,2019-03-12 01:09:18.481695,,,,,,t,2019-03-12 01:11:25.260157,{},text,2,1,Daniel Mayer: Nothing much here.. got a good nights rest
10,2019-03-12 01:08:56.786475,,,,,,t,2019-03-12 01:11:25.304445,{},text,2,1,Daniel Mayer: Hello
7,2019-03-12 01:08:42.154934,,,,,,t,2019-03-12 01:11:25.335261,{},text,2,1,Daniel Mayer: Yep... are we the only mafia?
5,2019-03-12 01:08:22.87856,,,,,,t,2019-03-12 01:11:25.361011,{},text,2,1,Daniel Mayer: What about Alexander?
4,2019-03-12 01:08:02.827959,,,,,,t,2019-03-12 01:11:25.396676,{},text,2,1,Daniel Mayer: Okay Tim is cool.
2,2019-03-12 01:07:46.795701,,,,,,t,2019-03-12 01:11:25.418512,{},text,2,1,Daniel Mayer: Hello
32,2019-03-12 01:11:27.320273,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Daniel Mayer
33,2019-03-12 01:11:49.795781,,,,,,f,,{},text,3,1,Timothy Moore: sick
34,2019-03-12 01:11:57.033802,,,,,,f,,{},text,3,1,Timothy Moore: lonely time
35,2019-03-12 01:12:21.475168,,,,,,f,,{},vote,3,1,Timothy Moore: Jacob Pearson
26,2019-03-12 01:10:30.720369,,,,,,t,2019-03-12 01:12:34.164209,{},vote,11,1,Jacob Pearson: Tyrone Mckee
23,2019-03-12 01:09:45.826069,,,,,,t,2019-03-12 01:12:34.176684,{},text,11,1,Jacob Pearson: tyrone
19,2019-03-12 01:09:21.965953,,,,,,t,2019-03-12 01:12:34.187536,{},text,11,1,Jacob Pearson: hi
36,2019-03-12 01:12:34.795882,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Jacob Pearson
37,2019-03-12 01:12:43.766127,,,,,,f,,{},text,8,1,Laura Baldwin: Did everyone have a good Monday?
