id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-13 02:16:27.031941,,,,,,f,,{},info,1,1,Phase Change to Nighttime
2,2019-03-13 02:16:27.069389,,,,,,f,,{},info,1,1,Phase Change to Nighttime
3,2019-03-13 02:16:45.690846,,,,,,f,,{},text,3,1,Abigail Perez: karen smith?
4,2019-03-13 02:16:51.221613,,,,,,f,,{},text,2,1,Jay Williams: Sure
5,2019-03-13 02:16:53.960931,,,,,,f,,{},text,3,1,Abigail Perez: ok
6,2019-03-13 02:16:58.381216,,,,,,f,,{},vote,3,1,Abigail Perez: Karen Smith
7,2019-03-13 02:16:58.930482,,,,,,f,,{},vote,2,1,Jay Williams: Karen Smith
8,2019-03-13 02:17:33.046592,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Karen Smith
13,2019-03-13 02:17:57.458723,,,,,,f,,{},text,12,1,John Bridges: ELIMINATE MATHEW FRANCO
14,2019-03-13 02:17:58.135228,,,,,,f,,{},text,10,1,Michael Sharp: Jason
15,2019-03-13 02:18:00.583152,,,,,,f,,{},text,2,1,Jay Williams: Who do you think is a mafia member?
18,2019-03-13 02:18:12.476268,,,,,,f,,{},vote,10,1,Michael Sharp: Jason Rodriguez
22,2019-03-13 02:18:25.985997,,,,,,f,,{},vote,3,1,Abigail Perez: Jason Rodriguez
24,2019-03-13 02:18:43.973552,,,,,,f,,{},text,2,1,"Jay Williams: Wow, looks like Jason isn't having any luck"
26,2019-03-13 02:19:02.268811,,,,,,f,,{},vote,12,1,John Bridges: Jason Rodriguez
31,2019-03-13 02:20:11.116348,,,,,,f,,{},vote,2,1,Jay Williams: Austin Williams
30,2019-03-13 02:20:04.643302,,,,,,t,2019-03-13 02:20:12.766221,{},text,4,1,Jason Rodriguez: i think the timer's a bit long for the night and day sessions. everyone have a good evening!
25,2019-03-13 02:18:55.113941,,,,,,t,2019-03-13 02:20:12.777726,{},text,4,1,Jason Rodriguez: no joke
10,2019-03-13 02:17:47.212843,,,,,,t,2019-03-13 02:20:12.786631,{},text,4,1,Jason Rodriguez: let's take austin williams out of the game.
9,2019-03-13 02:17:42.184281,,,,,,t,2019-03-13 02:20:12.798951,{},vote,4,1,Jason Rodriguez: Austin Williams
32,2019-03-13 02:20:13.635853,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Jason Rodriguez
33,2019-03-13 02:20:29.281104,,,,,,f,,{},text,3,1,Abigail Perez: who do you want to get?
