id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-15 20:46:33.309828,,,,,,f,,{},info,1,1,Phase Change to Nighttime
2,2019-03-15 20:46:45.622281,,,,,,f,,{},text,4,1,Jamie Meadows: Hello
3,2019-03-15 20:46:50.660628,,,,,,f,,{},text,2,1,Tiffany Hernandez: Hi!
4,2019-03-15 20:47:09.67736,,,,,,f,,{},text,2,1,Tiffany Hernandez: How many of us are there?
5,2019-03-15 20:47:16.682837,,,,,,f,,{},text,4,1,Jamie Meadows: I don't think it matters who we pick for the first night really since we don't know anything
6,2019-03-15 20:47:21.542376,,,,,,f,,{},text,4,1,Jamie Meadows: Just 2 I think
7,2019-03-15 20:47:38.193924,,,,,,f,,{},info,1,1,Phase Change to Daytime
8,2019-03-15 20:47:42.93969,,,,,,f,,{},vote,4,1,Jamie Meadows: Robin Green
12,2019-03-15 20:47:58.24387,,,,,,f,,{},vote,2,1,Tiffany Hernandez: Justin Lee
13,2019-03-15 20:48:05.336094,,,,,,f,,{},vote,8,1,Tristan Rodriguez: Justin Lee
17,2019-03-15 20:48:15.395538,,,,,,f,,{},text,4,1,Jamie Meadows: Why?
18,2019-03-15 20:48:19.16426,,,,,,f,,{},text,6,1,Robin Green: poor guy
23,2019-03-15 20:48:54.785495,,,,,,f,,{},text,2,1,Tiffany Hernandez: no way to tell
27,2019-03-15 20:49:18.136026,,,,,,f,,{},text,6,1,Robin Green: justin doesn't sound mafia. but it could be a trap.
31,2019-03-15 20:49:50.175089,,,,,,f,,{},vote,6,1,Robin Green: Justin Lee
32,2019-03-15 20:49:50.840945,,,,,,f,,{},text,4,1,Jamie Meadows: welp votes aren't changeable 
36,2019-03-15 20:50:20.441045,,,,,,f,,{},text,2,1,Tiffany Hernandez: Justin is a nice name!
37,2019-03-15 20:50:25.289592,,,,,,f,,{},text,4,1,Jamie Meadows: Sam if justin isn't mafia I'm assuming you are
42,2019-03-15 20:50:40.891951,,,,,,f,,{},text,4,1,Jamie Meadows: because you tried to get people to vote right away
46,2019-03-15 20:51:09.066921,,,,,,f,,{},text,6,1,Robin Green: why did the timer start over?
49,2019-03-15 20:51:25.712039,,,,,,f,,{},text,2,1,Tiffany Hernandez: only a small amount of time left!
51,2019-03-15 20:51:50.537729,,,,,,f,,{},text,4,1,Jamie Meadows: 40 seconds for me
54,2019-03-15 20:52:16.236301,,,,,,f,,{},text,2,1,Tiffany Hernandez: hmmmmm
56,2019-03-15 20:52:28.562665,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Justin Lee
57,2019-03-15 20:52:38.556359,,,,,,f,,{},text,4,1,Jamie Meadows: Let's get lisa
58,2019-03-15 20:52:55.257312,,,,,,f,,{},text,2,1,"Tiffany Hernandez: ok, sounds good"
59,2019-03-15 20:52:57.431271,,,,,,f,,{},vote,4,1,Jamie Meadows: Lisa Wright
60,2019-03-15 20:53:05.366672,,,,,,f,,{},vote,2,1,Tiffany Hernandez: Lisa Wright
61,2019-03-15 20:53:22.089003,,,,,,f,,{},text,2,1,Tiffany Hernandez: I can't believe how many of them there are!
14,2019-03-15 20:48:05.787316,,,,,,t,2019-03-15 20:53:37.184168,{},text,12,1,Lisa Wright: hi
16,2019-03-15 20:48:11.912871,,,,,,t,2019-03-15 20:53:37.193685,{},vote,12,1,Lisa Wright: Samuel Rogers
41,2019-03-15 20:50:40.764853,,,,,,t,2019-03-15 20:53:37.20291,{},text,12,1,Lisa Wright: hello
