id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-16 21:03:31.91588,,,,,,f,,{},info,1,1,Phase Change to Nighttime
3,2019-03-16 21:04:42.727676,,,,,,f,,{},info,1,1,Phase Change to Daytime
5,2019-03-16 21:04:48.460333,,,,,,f,,{},text,13,1,Eric Schneider: Hi
8,2019-03-16 21:04:58.859198,,,,,,f,,{},text,5,1,Alexander Griffin: hello
9,2019-03-16 21:05:00.484842,,,,,,f,,{},text,10,1,Ashley Bautista: hey
10,2019-03-16 21:05:02.7129,,,,,,f,,{},text,9,1,Mitchell Schultz: Hello
11,2019-03-16 21:05:06.576535,,,,,,f,,{},text,14,1,Cynthia Bird: hi
12,2019-03-16 21:05:09.712101,,,,,,f,,{},text,13,1,Eric Schneider: Who should we eliminate?
13,2019-03-16 21:05:17.876041,,,,,,f,,{},text,5,1,Alexander Griffin: who didn't respond?
15,2019-03-16 21:05:34.568389,,,,,,f,,{},text,14,1,Cynthia Bird: all respoded
16,2019-03-16 21:05:35.174938,,,,,,f,,{},text,13,1,Eric Schneider: I don't see Kendra Craig responding
17,2019-03-16 21:05:46.310409,,,,,,f,,{},text,5,1,Alexander Griffin: looks like Kendra is it then
20,2019-03-16 21:05:54.764132,,,,,,f,,{},vote,13,1,Eric Schneider: Kendra Craig
23,2019-03-16 21:06:04.701691,,,,,,f,,{},vote,9,1,Mitchell Schultz: Kendra Craig
24,2019-03-16 21:06:06.052508,,,,,,f,,{},vote,5,1,Alexander Griffin: Kendra Craig
25,2019-03-16 21:06:07.039481,,,,,,f,,{},text,14,1,Cynthia Bird: kendra then
26,2019-03-16 21:06:10.741386,,,,,,f,,{},text,13,1,Eric Schneider: Sorry Kendra...
28,2019-03-16 21:06:19.636693,,,,,,f,,{},text,10,1,Ashley Bautista: sounds good
29,2019-03-16 21:06:39.96696,,,,,,f,,{},vote,14,1,Cynthia Bird: Kendra Craig
31,2019-03-16 21:07:10.454151,,,,,,f,,{},text,5,1,Alexander Griffin: no response
33,2019-03-16 21:07:19.44532,,,,,,f,,{},text,10,1,Ashley Bautista: she hasn't responded
32,2019-03-16 21:07:15.564026,,,,,,t,2019-03-16 21:07:22.19382,{},vote,6,1,Kendra Craig: Sara Reed
34,2019-03-16 21:07:23.176471,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Kendra Craig
35,2019-03-16 21:07:23.832011,,,,,,f,,{},text,6,1,Kendra Craig: i'm here
22,2019-03-16 21:06:03.82366,,,,,,t,2019-03-16 21:08:31.969436,{},vote,11,1,Beth Ramsey: Kendra Craig
7,2019-03-16 21:04:57.502148,,,,,,t,2019-03-16 21:08:31.983381,{},text,11,1,Beth Ramsey: Hello
42,2019-03-16 21:08:32.814276,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Beth Ramsey
43,2019-03-16 21:08:43.898811,,,,,,f,,{},text,13,1,Eric Schneider: Did everybody sleep well last night?
44,2019-03-16 21:08:52.696187,,,,,,f,,{},text,14,1,Cynthia Bird: who's next?
45,2019-03-16 21:08:53.027201,,,,,,f,,{},text,10,1,Ashley Bautista: barely 
47,2019-03-16 21:09:01.907554,,,,,,f,,{},text,5,1,Alexander Griffin: how so?
51,2019-03-16 21:09:20.274059,,,,,,f,,{},text,5,1,Alexander Griffin: hmm anyone heard from Ruben?
52,2019-03-16 21:09:21.246788,,,,,,f,,{},text,9,1,Mitchell Schultz: This game can easily make one feel paranoid...
53,2019-03-16 21:09:29.313495,,,,,,f,,{},text,10,1,Ashley Bautista: lol 
54,2019-03-16 21:09:35.921333,,,,,,f,,{},text,13,1,Eric Schneider: I think that the best approach is to wait until the very end to vote
55,2019-03-16 21:09:40.758888,,,,,,f,,{},text,9,1,Mitchell Schultz: 8 people left?
57,2019-03-16 21:09:49.20289,,,,,,f,,{},text,5,1,Alexander Griffin: not a clue
59,2019-03-16 21:10:02.917473,,,,,,f,,{},text,5,1,"Alexander Griffin: going for people who aren't participating first though so, sorry Ruben"
61,2019-03-16 21:10:06.580292,,,,,,f,,{},text,14,1,"Cynthia Bird: since Sara voted me on first round, I will vote her now."
62,2019-03-16 21:10:07.642601,,,,,,f,,{},vote,5,1,Alexander Griffin: Ruben Sanchez
63,2019-03-16 21:10:22.396984,,,,,,f,,{},text,10,1,Ashley Bautista: i agree with ruben
65,2019-03-16 21:10:25.910693,,,,,,f,,{},text,13,1,Eric Schneider: I just noticed (looking back at round 1) that Kendra Craig did end up voting.
66,2019-03-16 21:10:26.344346,,,,,,f,,{},text,5,1,Alexander Griffin: vengeance pick...nice! lol
68,2019-03-16 21:11:03.006583,,,,,,f,,{},vote,14,1,Cynthia Bird: Sara Reed
70,2019-03-16 21:11:08.66208,,,,,,f,,{},vote,13,1,Eric Schneider: Sara Reed
71,2019-03-16 21:11:10.149942,,,,,,f,,{},vote,9,1,Mitchell Schultz: Sara Reed
6,2019-03-16 21:04:54.356633,,,,,,t,2019-03-16 21:12:21.829516,{},text,12,1,Kenneth Chavez: hi
21,2019-03-16 21:05:58.610305,,,,,,t,2019-03-16 21:12:21.838504,{},text,12,1,Kenneth Chavez: sounds good
