id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-15 20:39:00.072732,,,,,,f,,{},info,1,1,Phase Change to Nighttime
2,2019-03-15 20:39:23.401357,,,,,,f,,{},text,2,1,Dr. Kelli Brooks: Hello
3,2019-03-15 20:39:42.872783,,,,,,f,,{},text,2,1,Dr. Kelli Brooks: Do you want to get rid of Henry Evans?
4,2019-03-15 20:39:53.717517,,,,,,f,,{},text,3,1,Bob Woods: Okay
5,2019-03-15 20:39:57.103514,,,,,,f,,{},vote,2,1,Dr. Kelli Brooks: Henry Evans
6,2019-03-15 20:39:59.843378,,,,,,f,,{},vote,3,1,Bob Woods: Henry Evans
7,2019-03-15 20:40:06.82205,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Henry Evans
11,2019-03-15 20:40:31.016817,,,,,,f,,{},text,3,1,Bob Woods: LOL :(
13,2019-03-15 20:40:34.758861,,,,,,f,,{},text,2,1,Dr. Kelli Brooks: Hello
15,2019-03-15 20:40:39.82427,,,,,,f,,{},text,3,1,Bob Woods: that would be a mistake...
16,2019-03-15 20:40:41.833629,,,,,,f,,{},text,4,1,Danielle Little: Don't kill me!
18,2019-03-15 20:40:49.20485,,,,,,f,,{},text,12,1,Bryan Castillo: Hello
22,2019-03-15 20:41:15.714929,,,,,,f,,{},text,2,1,"Dr. Kelli Brooks: So, are we all voting randomly?"
25,2019-03-15 20:41:27.875457,,,,,,f,,{},text,3,1,Bob Woods: exactly
28,2019-03-15 20:41:38.289478,,,,,,f,,{},vote,2,1,Dr. Kelli Brooks: Matthew Bridges
30,2019-03-15 20:41:56.215093,,,,,,f,,{},vote,3,1,Bob Woods: Matthew Bridges
31,2019-03-15 20:41:56.736018,,,,,,f,,{},vote,4,1,Danielle Little: Bob Woods
36,2019-03-15 20:42:25.659543,,,,,,f,,{},vote,12,1,Bryan Castillo: Matthew Bridges
26,2019-03-15 20:41:28.84502,,,,,,t,2019-03-15 20:42:46.272225,{},text,14,1,Matthew Bridges: Nope ;)
17,2019-03-15 20:40:46.407967,,,,,,t,2019-03-15 20:42:46.284772,{},text,14,1,"Matthew Bridges: Sorry, I just picked a random name :("
12,2019-03-15 20:40:34.070833,,,,,,t,2019-03-15 20:42:46.302791,{},text,14,1,"Matthew Bridges: Hi, everybody!"
8,2019-03-15 20:40:17.171269,,,,,,t,2019-03-15 20:42:46.324389,{},vote,14,1,Matthew Bridges: Bob Woods
37,2019-03-15 20:42:47.297488,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Matthew Bridges
38,2019-03-15 20:43:04.792331,,,,,,f,,{},text,2,1,Dr. Kelli Brooks: Any ideas this round?
39,2019-03-15 20:43:21.212718,,,,,,f,,{},text,3,1,Bob Woods: hmmm it seems like they might go blake next round
40,2019-03-15 20:43:38.326827,,,,,,f,,{},text,3,1,Bob Woods: I might go James Lopex
41,2019-03-15 20:43:45.294019,,,,,,f,,{},text,2,1,Dr. Kelli Brooks: Ernest seemed vocal - should we pick him and then vote Blake when it is everyone
42,2019-03-15 20:43:46.685976,,,,,,f,,{},vote,3,1,Bob Woods: James Lopez
43,2019-03-15 20:43:54.576443,,,,,,f,,{},text,2,1,Dr. Kelli Brooks: oh-ok - I can go James
34,2019-03-15 20:42:15.818814,,,,,,t,2019-03-15 20:43:55.870737,{},text,10,1,James Lopez: <3
32,2019-03-15 20:42:14.702541,,,,,,t,2019-03-15 20:43:55.882766,{},text,10,1,James Lopez: RIP Matt 
24,2019-03-15 20:41:25.626182,,,,,,t,2019-03-15 20:43:55.892506,{},vote,10,1,James Lopez: Matthew Bridges
23,2019-03-15 20:41:20.034998,,,,,,t,2019-03-15 20:43:55.904533,{},text,10,1,"James Lopez: Seems odd that Matthew would make the first choice, probably mafia"
9,2019-03-15 20:40:22.50253,,,,,,t,2019-03-15 20:43:55.915939,{},text,10,1,James Lopez: hi
44,2019-03-15 20:43:56.80563,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - James Lopez
46,2019-03-15 20:44:29.709162,,,,,,f,,{},text,3,1,Bob Woods: lol
49,2019-03-15 20:44:36.468469,,,,,,f,,{},text,2,1,"Dr. Kelli Brooks: So, does that mean vote Ernest?"
50,2019-03-15 20:44:37.086092,,,,,,f,,{},vote,4,1,Danielle Little: Ernest Nguyen
