id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-01-28 17:51:08.349688,,,,,,f,,{},info,1,1,Phase Change to Nighttime
2,2019-01-28 17:51:08.389957,,,,,,f,,{},info,1,1,Phase Change to Nighttime
3,2019-01-28 17:51:42.900953,,,,,,f,,{},text,2,1,John Thompson: Andrea Sanchez sleeps with the fishes
4,2019-01-28 17:51:51.40271,,,,,,f,,{},text,4,1,Gregory Huffman: awesome!
5,2019-01-28 17:52:02.045136,,,,,,f,,{},vote,4,1,Gregory Huffman: Andrea Sanchez
6,2019-01-28 17:52:07.447197,,,,,,f,,{},vote,2,1,John Thompson: Andrea Sanchez
7,2019-01-28 17:52:15.113528,,,,,,f,,{},info,1,1,Phase Change to Daytime
8,2019-01-28 17:52:15.615429,,,,,,f,,{},info,1,1,Phase Change to Daytime
11,2019-01-28 17:52:37.095716,,,,,,f,,{},text,5,1,Frank Butler: Hi everyone
14,2019-01-28 17:52:41.704798,,,,,,f,,{},text,2,1,John Thompson: Hi
18,2019-01-28 17:52:54.938417,,,,,,f,,{},text,5,1,"Frank Butler: Doing great, how is everyone?"
23,2019-01-28 17:53:23.219718,,,,,,f,,{},vote,2,1,John Thompson: Gregory Walker
29,2019-01-28 17:53:42.194176,,,,,,f,,{},text,2,1,John Thompson: Snitches get stitches.
32,2019-01-28 17:53:54.200931,,,,,,f,,{},vote,5,1,Frank Butler: Tanya Kennedy
35,2019-01-28 17:54:13.905854,,,,,,f,,{},text,10,1,Anthony Floyd: Hi
39,2019-01-28 17:54:49.432664,,,,,,f,,{},text,10,1,Anthony Floyd: haha
19,2019-01-28 17:52:56.338906,,,,,,t,2019-01-28 17:54:54.59602,{},vote,9,1,Tanya Kennedy: Gregory Walker
17,2019-01-28 17:52:53.683318,,,,,,t,2019-01-28 17:54:54.608324,{},text,9,1,Tanya Kennedy: im voting gregory walker
13,2019-01-28 17:52:40.554636,,,,,,t,2019-01-28 17:54:54.620162,{},text,9,1,Tanya Kennedy: hello
40,2019-01-28 17:54:55.511909,,,,,,f,,{},info,1,1,Phase Change to Nighttime
41,2019-01-28 17:54:55.592207,,,,,,f,,{},info,1,1,Phase Change to Nighttime
42,2019-01-28 17:54:55.609098,,,,,,f,,{},info,1,1,Phase Change to Nighttime
43,2019-01-28 17:54:55.65254,,,,,,f,,{},vote,4,1,Gregory Huffman: Tanya Kennedy
44,2019-01-28 17:54:55.846033,,,,,,f,,{},info,1,1,Phase Change to Nighttime
46,2019-01-28 17:54:55.991795,,,,,,f,,{},info,1,1,Phase Change to Nighttime
47,2019-01-28 17:54:56.095221,,,,,,f,,{},info,1,1,Phase Change to Nighttime
48,2019-01-28 17:55:29.245136,,,,,,f,,{},text,2,1,John Thompson: Michael Petersen is a problem.
49,2019-01-28 17:55:34.809128,,,,,,f,,{},vote,2,1,John Thompson: Michael Petersen
50,2019-01-28 17:55:43.10624,,,,,,f,,{},text,4,1,Gregory Huffman: sounds good!
51,2019-01-28 17:55:50.556355,,,,,,f,,{},vote,4,1,Gregory Huffman: Michael Petersen
38,2019-01-28 17:54:46.389915,,,,,,t,2019-01-28 17:56:04.437268,{},text,7,1,Michael Petersen: Bye Tanya
30,2019-01-28 17:53:46.338701,,,,,,t,2019-01-28 17:56:04.449211,{},text,7,1,Michael Petersen: Haha
26,2019-01-28 17:53:24.2382,,,,,,t,2019-01-28 17:56:04.46085,{},vote,7,1,Michael Petersen: Tanya Kennedy
22,2019-01-28 17:53:18.195981,,,,,,t,2019-01-28 17:56:04.472232,{},text,7,1,Michael Petersen: Gregory is my best friend
