id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-13 00:29:17.01443,,,,,,f,,{},info,1,1,Phase Change to Nighttime
5,2019-03-13 00:30:22.787821,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Raymond Campbell
7,2019-03-13 00:30:41.416659,,,,,,f,,{},text,10,1,Nicole Lang: hey group 
11,2019-03-13 00:30:47.443207,,,,,,f,,{},text,5,1,Veronica Snyder: Hi all
19,2019-03-13 00:31:36.306263,,,,,,f,,{},text,10,1,Nicole Lang: julian works for me
20,2019-03-13 00:31:37.337994,,,,,,f,,{},text,5,1,Veronica Snyder: How to chose??
25,2019-03-13 00:31:56.02906,,,,,,f,,{},text,10,1,Nicole Lang: haha that's how we're choosing
28,2019-03-13 00:32:12.057242,,,,,,f,,{},text,10,1,Nicole Lang: idk though
30,2019-03-13 00:32:17.962701,,,,,,f,,{},text,10,1,Nicole Lang: you guys are kind of pushing julian
32,2019-03-13 00:32:22.754012,,,,,,f,,{},text,10,1,Nicole Lang: probably know hes not mafia
33,2019-03-13 00:32:28.103925,,,,,,f,,{},text,10,1,Nicole Lang: how else could you know who to pick
37,2019-03-13 00:32:38.666695,,,,,,f,,{},text,5,1,Veronica Snyder: No one seems to like Julian! lol
39,2019-03-13 00:32:39.986209,,,,,,f,,{},text,10,1,Nicole Lang: of course you do julian hahah
47,2019-03-13 00:32:58.488268,,,,,,f,,{},vote,5,1,Veronica Snyder: Mr. Michael Nelson Jr.
44,2019-03-13 00:32:49.731656,,,,,,t,2019-03-13 00:33:02.775191,{},text,2,1,Mr. Michael Nelson Jr.: Let's Lynch Nathan 
38,2019-03-13 00:32:39.026218,,,,,,t,2019-03-13 00:33:02.793688,{},text,2,1,Mr. Michael Nelson Jr.: Whoa! I can't help what my name is
29,2019-03-13 00:32:16.514658,,,,,,t,2019-03-13 00:33:02.815248,{},text,2,1,Mr. Michael Nelson Jr.: Julian will whack us.
21,2019-03-13 00:31:44.716785,,,,,,t,2019-03-13 00:33:02.826949,{},text,2,1,Mr. Michael Nelson Jr.: Sounds like a mobish name
17,2019-03-13 00:31:22.339048,,,,,,t,2019-03-13 00:33:02.841682,{},vote,2,1,Mr. Michael Nelson Jr.: Julian Barrett
16,2019-03-13 00:31:19.833146,,,,,,t,2019-03-13 00:33:02.850871,{},text,2,1,Mr. Michael Nelson Jr.: Julian
14,2019-03-13 00:30:59.312544,,,,,,t,2019-03-13 00:33:02.870993,{},text,2,1,Mr. Michael Nelson Jr.: How is everyone today?
6,2019-03-13 00:30:38.066949,,,,,,t,2019-03-13 00:33:02.881569,{},text,2,1,Mr. Michael Nelson Jr.: Hello.
4,2019-03-13 00:29:56.091427,,,,,,t,2019-03-13 00:33:02.891545,{},vote,2,1,Mr. Michael Nelson Jr.: Raymond Campbell
3,2019-03-13 00:29:47.517076,,,,,,t,2019-03-13 00:33:02.919409,{},text,2,1,Mr. Michael Nelson Jr.: Let's take out Raymond.
2,2019-03-13 00:29:27.31342,,,,,,t,2019-03-13 00:33:02.940766,{},text,2,1,Mr. Michael Nelson Jr.: Hi.
48,2019-03-13 00:33:03.712246,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Mr. Michael Nelson Jr.
8,2019-03-13 00:30:44.789018,,,,,,t,2019-03-13 00:34:12.352087,{},text,4,1,Christopher Turner: hello
13,2019-03-13 00:30:56.65947,,,,,,t,2019-03-13 00:34:12.372609,{},text,4,1,Christopher Turner: who should we get rid of?
18,2019-03-13 00:31:34.680379,,,,,,t,2019-03-13 00:34:12.437022,{},text,4,1,Christopher Turner: Michael sounds suspicious
26,2019-03-13 00:32:03.825651,,,,,,t,2019-03-13 00:34:12.467735,{},text,4,1,Christopher Turner: Yeah I don't trust the guy
40,2019-03-13 00:32:41.394701,,,,,,t,2019-03-13 00:34:12.494655,{},text,4,1,"Christopher Turner: Yeah, never trust someone with ttwo first names."
50,2019-03-13 00:34:12.94063,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Christopher Turner
51,2019-03-13 00:34:21.517527,,,,,,f,,{},text,10,1,Nicole Lang: whoops forgot to vote last time
52,2019-03-13 00:34:24.682378,,,,,,f,,{},text,10,1,Nicole Lang: so what are we thinking
53,2019-03-13 00:34:40.084056,,,,,,f,,{},text,5,1,Veronica Snyder: Hmmm...
54,2019-03-13 00:34:49.214512,,,,,,f,,{},text,10,1,Nicole Lang: maybe brittany bc she didn't vote for michael?
