id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-11 18:52:06.85018,,,,,,f,,{},info,1,1,Phase Change to Nighttime
3,2019-03-11 18:52:20.321409,,,,,,f,,{},text,2,1,Christopher Turner: Hello~
5,2019-03-11 18:53:14.209569,,,,,,f,,{},info,1,1,Phase Change to Daytime
7,2019-03-11 18:53:25.996016,,,,,,f,,{},text,2,1,Christopher Turner: Hello Everyone
8,2019-03-11 18:53:30.353517,,,,,,f,,{},text,12,1,Michael Anderson: Hio
15,2019-03-11 18:53:46.485424,,,,,,f,,{},vote,2,1,Christopher Turner: Erin Cabrera
22,2019-03-11 18:54:06.60733,,,,,,f,,{},text,12,1,Michael Anderson: no clue
26,2019-03-11 18:54:21.465638,,,,,,f,,{},vote,12,1,Michael Anderson: Stephanie Gonzalez
30,2019-03-11 18:54:35.112309,,,,,,f,,{},text,2,1,Christopher Turner: Sorry Erin 
33,2019-03-11 18:54:49.444832,,,,,,f,,{},text,12,1,Michael Anderson: its random if there arent enough votes
34,2019-03-11 18:54:52.688375,,,,,,f,,{},text,2,1,"Christopher Turner: Most votes, if tie then its random between the two"
42,2019-03-11 18:55:48.479018,,,,,,f,,{},text,2,1,Christopher Turner: Welp see you guys in the morning
40,2019-03-11 18:55:38.280149,,,,,,t,2019-03-11 18:55:53.032159,{},text,8,1,Erin Jackson DVM: trying to hill you 
36,2019-03-11 18:55:00.313535,,,,,,t,2019-03-11 18:55:53.06944,{},text,8,1,Erin Jackson DVM: well nice idea
28,2019-03-11 18:54:33.590265,,,,,,t,2019-03-11 18:55:53.091054,{},text,8,1,Erin Jackson DVM: hey
21,2019-03-11 18:54:04.365504,,,,,,t,2019-03-11 18:55:53.13077,{},text,8,1,Erin Jackson DVM: no idea
13,2019-03-11 18:53:36.134845,,,,,,t,2019-03-11 18:55:53.14804,{},text,8,1,Erin Jackson DVM: hello
43,2019-03-11 18:55:54.78705,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Erin Jackson DVM
44,2019-03-11 18:56:11.544439,,,,,,f,,{},text,2,1,"Christopher Turner: timer is fast, didn't know which Erin"
46,2019-03-11 18:56:26.214127,,,,,,f,,{},text,2,1,Christopher Turner: William
48,2019-03-11 18:56:31.807976,,,,,,f,,{},vote,2,1,Christopher Turner: William Stanley
11,2019-03-11 18:53:33.870936,,,,,,t,2019-03-11 18:57:02.134209,{},text,14,1,William Stanley: any ideas on who to elimate?
18,2019-03-11 18:54:00.651223,,,,,,t,2019-03-11 18:57:02.152831,{},text,14,1,William Stanley: hello
