id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-02-01 20:19:41.744477,,,,,,f,,{},info,1,1,Phase Change to Nighttime
6,2019-02-01 20:20:46.073983,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Chris Scott
10,2019-02-01 20:21:00.255883,,,,,,f,,{},text,7,1,Latoya Carter: hello
11,2019-02-01 20:21:00.63285,,,,,,f,,{},text,10,1,Nancy Foley: hey
25,2019-02-01 20:22:06.104188,,,,,,f,,{},text,10,1,Nancy Foley: lol
28,2019-02-01 20:22:10.913092,,,,,,f,,{},text,10,1,Nancy Foley: are you sure?
34,2019-02-01 20:22:22.142756,,,,,,f,,{},text,7,1,Latoya Carter: everyone agreeing natalie is probably mafia
41,2019-02-01 20:23:03.8091,,,,,,f,,{},vote,7,1,Latoya Carter: Stephen Baldwin
42,2019-02-01 20:23:09.069664,,,,,,f,,{},vote,10,1,Nancy Foley: Stephen Baldwin
40,2019-02-01 20:22:57.504492,,,,,,t,2019-02-01 20:23:26.042347,{},text,11,1,Stephen Baldwin: m just trying to get this party started
39,2019-02-01 20:22:52.05526,,,,,,t,2019-02-01 20:23:26.055851,{},text,11,1,Stephen Baldwin: i'
32,2019-02-01 20:22:20.172733,,,,,,t,2019-02-01 20:23:26.069896,{},vote,11,1,Stephen Baldwin: Natalie Velasquez
30,2019-02-01 20:22:15.102428,,,,,,t,2019-02-01 20:23:26.082042,{},text,11,1,Stephen Baldwin: i'll make my own mob out of these bystanders
23,2019-02-01 20:22:00.001885,,,,,,t,2019-02-01 20:23:26.091605,{},text,11,1,Stephen Baldwin: good she's gone
18,2019-02-01 20:21:31.632103,,,,,,t,2019-02-01 20:23:26.100794,{},text,11,1,Stephen Baldwin: natalie... that sounds like someone in the mafia 
8,2019-02-01 20:21:00.084286,,,,,,t,2019-02-01 20:23:26.110027,{},text,11,1,Stephen Baldwin: hey
44,2019-02-01 20:23:26.896961,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Stephen Baldwin
7,2019-02-01 20:20:53.679681,,,,,,t,2019-02-01 20:24:35.646145,{},text,9,1,Aaron Vaughan: hi
33,2019-02-01 20:22:20.716263,,,,,,t,2019-02-01 20:24:35.6617,{},vote,9,1,Aaron Vaughan: Kevin Morales
54,2019-02-01 20:24:36.113615,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Aaron Vaughan
57,2019-02-01 20:25:10.115303,,,,,,f,,{},text,7,1,Latoya Carter: mornin folks!
59,2019-02-01 20:25:19.059194,,,,,,f,,{},text,10,1,Nancy Foley: morning
61,2019-02-01 20:25:38.265336,,,,,,f,,{},text,7,1,Latoya Carter: see they voted natalie out...other person that wanted her out was Nathan. He's the next mafia
64,2019-02-01 20:25:56.967247,,,,,,f,,{},text,7,1,Latoya Carter: bwahaha
65,2019-02-01 20:26:00.700899,,,,,,f,,{},text,7,1,Latoya Carter: I can't read
66,2019-02-01 20:26:05.685302,,,,,,f,,{},text,7,1,"Latoya Carter: vote me, I'm a dum dum"
70,2019-02-01 20:26:41.604501,,,,,,f,,{},text,10,1,"Nancy Foley: yeah, he didn't get to say much yesterday"
15,2019-02-01 20:21:09.16544,,,,,,t,2019-02-01 20:28:25.671147,{},text,12,1,Christine King: who want to go first?
17,2019-02-01 20:21:29.128722,,,,,,t,2019-02-01 20:28:25.6771,{},text,12,1,Christine King: ready to kick someone...
19,2019-02-01 20:21:35.727137,,,,,,t,2019-02-01 20:28:25.68273,{},text,12,1,Christine King: try..hahahah
