id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-14 20:58:38.309403,,,,,,f,,{},info,1,1,Phase Change to Nighttime
6,2019-03-14 20:59:44.1591,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Micheal Francis
8,2019-03-14 20:59:57.467068,,,,,,f,,{},text,7,1,Jordan Downs: hi
9,2019-03-14 20:59:58.017232,,,,,,f,,{},text,8,1,Bryce Gibson: Did anyone die?
12,2019-03-14 21:00:09.613175,,,,,,f,,{},text,7,1,Jordan Downs: what?
14,2019-03-14 21:00:20.776801,,,,,,f,,{},text,5,1,Rebecca Nguyen: I'm here
16,2019-03-14 21:00:23.253413,,,,,,f,,{},text,10,1,Abigail Clark: Harold could you restate your question.
18,2019-03-14 21:00:39.812825,,,,,,f,,{},text,5,1,Rebecca Nguyen: Rebecca  is here
19,2019-03-14 21:00:50.364189,,,,,,f,,{},vote,10,1,Abigail Clark: John Luna
20,2019-03-14 21:00:56.641532,,,,,,f,,{},text,8,1,Bryce Gibson: I don't know how anyone's sure of anything
21,2019-03-14 21:00:57.861437,,,,,,f,,{},text,7,1,Jordan Downs: Jessica?
22,2019-03-14 21:00:59.930232,,,,,,f,,{},text,5,1,Rebecca Nguyen: It appears Wendy Leach might be gone
15,2019-03-14 21:00:22.344628,,,,,,t,2019-03-14 21:01:04.851587,{},text,4,1,Harold Price: JOHN LUNA
11,2019-03-14 21:00:04.818133,,,,,,t,2019-03-14 21:01:04.860962,{},vote,4,1,Harold Price: John Luna
10,2019-03-14 21:00:01.397467,,,,,,t,2019-03-14 21:01:04.869552,{},text,4,1,Harold Price: I AM NOW SURE ON THIS ONW
5,2019-03-14 20:59:23.242005,,,,,,t,2019-03-14 21:01:04.878676,{},text,4,1,Harold Price: I MADE MY VOTE
4,2019-03-14 20:59:11.72142,,,,,,t,2019-03-14 21:01:04.887634,{},vote,4,1,Harold Price: Micheal Francis
2,2019-03-14 20:58:49.700244,,,,,,t,2019-03-14 21:01:04.896989,{},text,4,1,Harold Price: HEY NOW
25,2019-03-14 21:01:19.591426,,,,,,f,,{},text,7,1,Jordan Downs: lol
