id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-12 20:18:14.924839,,,,,,f,,{},info,1,1,Phase Change to Nighttime
3,2019-03-12 20:18:43.769932,,,,,,f,,{},text,3,1,Brittany Evans: yo
5,2019-03-12 20:19:00.141463,,,,,,f,,{},text,3,1,Brittany Evans: doesnt matter
7,2019-03-12 20:19:20.733879,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Mr. Joseph Mcknight
10,2019-03-12 20:19:44.910475,,,,,,f,,{},text,11,1,Rachel Costa: hi
13,2019-03-12 20:19:48.726194,,,,,,f,,{},text,3,1,Brittany Evans: hi
18,2019-03-12 20:20:43.707797,,,,,,f,,{},vote,11,1,Rachel Costa: Frank Steele
23,2019-03-12 20:22:01.248773,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Frank Steele
25,2019-03-12 20:22:51.513441,,,,,,f,,{},vote,3,1,Brittany Evans: Elizabeth Andrews
15,2019-03-12 20:19:56.480921,,,,,,t,2019-03-12 20:23:10.156357,{},vote,7,1,Elizabeth Andrews: Melissa Hunt
8,2019-03-12 20:19:39.276737,,,,,,t,2019-03-12 20:23:10.165836,{},text,7,1,Elizabeth Andrews: Hello
27,2019-03-12 20:23:10.511601,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Elizabeth Andrews
31,2019-03-12 20:23:39.861833,,,,,,f,,{},text,11,1,Rachel Costa: Hi
32,2019-03-12 20:23:43.231965,,,,,,f,,{},text,3,1,Brittany Evans: hi
36,2019-03-12 20:23:49.762298,,,,,,f,,{},vote,11,1,Rachel Costa: Erin Blevins
42,2019-03-12 20:24:19.19257,,,,,,f,,{},vote,3,1,Brittany Evans: Erin Blevins
44,2019-03-12 20:25:06.053024,,,,,,t,2019-03-12 20:25:50.612577,{},text,2,1,"Erin Blevins: Though, Blevins is a gross sounding name, so fair I guess"
43,2019-03-12 20:24:26.61056,,,,,,t,2019-03-12 20:25:50.622691,{},text,2,1,Erin Blevins: Sad days for miss Erin
41,2019-03-12 20:24:05.020211,,,,,,t,2019-03-12 20:25:50.636469,{},text,2,1,Erin Blevins: D:
40,2019-03-12 20:24:02.35756,,,,,,t,2019-03-12 20:25:50.648692,{},vote,2,1,Erin Blevins: Jamie Burch
