id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-15 17:54:16.895882,,,,,,f,,{},info,1,1,Phase Change to Nighttime
2,2019-03-15 17:54:26.420514,,,,,,f,,{},text,2,1,Mike Burton: Hello
3,2019-03-15 17:54:31.92948,,,,,,f,,{},text,3,1,William Holmes: How's it going
4,2019-03-15 17:54:42.487418,,,,,,f,,{},text,2,1,"Mike Burton: Good, who should we eliminate?"
5,2019-03-15 17:54:51.111022,,,,,,f,,{},text,3,1,William Holmes: Dillon?
6,2019-03-15 17:54:55.503528,,,,,,f,,{},text,2,1,Mike Burton: Ok
7,2019-03-15 17:54:59.816946,,,,,,f,,{},vote,2,1,Mike Burton: Dillon Goodwin
8,2019-03-15 17:55:03.147715,,,,,,f,,{},vote,3,1,William Holmes: Dillon Goodwin
9,2019-03-15 17:55:13.111724,,,,,,f,,{},text,3,1,William Holmes: voted
10,2019-03-15 17:55:19.405009,,,,,,f,,{},text,2,1,Mike Burton: same
11,2019-03-15 17:55:22.939077,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Dillon Goodwin
12,2019-03-15 17:55:37.512809,,,,,,f,,{},vote,14,1,Charles Graham: Rodney Maynard
14,2019-03-15 17:55:56.675524,,,,,,f,,{},text,2,1,Mike Burton: what about now?
17,2019-03-15 17:56:15.090962,,,,,,f,,{},text,13,1,Rodney Maynard: I'm a bystander too.  Girl named Rodney  lol
18,2019-03-15 17:56:24.846783,,,,,,f,,{},text,2,1,Mike Burton: I am also a bystander
19,2019-03-15 17:56:34.247755,,,,,,f,,{},text,3,1,William Holmes: Same
21,2019-03-15 17:56:41.325583,,,,,,f,,{},text,14,1,Charles Graham: me too
22,2019-03-15 17:56:54.289194,,,,,,f,,{},text,14,1,Charles Graham: says the bot
23,2019-03-15 17:56:56.510635,,,,,,f,,{},text,3,1,William Holmes: Sharon didn't answer
24,2019-03-15 17:57:07.033672,,,,,,f,,{},vote,13,1,Rodney Maynard: Sharon Parker
27,2019-03-15 17:57:12.5186,,,,,,f,,{},vote,3,1,William Holmes: Sharon Parker
32,2019-03-15 17:57:25.6012,,,,,,f,,{},vote,2,1,Mike Burton: Sandra Reese
34,2019-03-15 17:57:40.933499,,,,,,f,,{},text,2,1,Mike Burton: Not sure
36,2019-03-15 17:57:59.593396,,,,,,f,,{},text,3,1,William Holmes: Someone's a fibber
30,2019-03-15 17:57:22.449866,,,,,,t,2019-03-15 17:58:02.225242,{},vote,10,1,Sharon Parker: Rodney Maynard
25,2019-03-15 17:57:07.926996,,,,,,t,2019-03-15 17:58:02.234571,{},text,10,1,Sharon Parker: im a bystander
37,2019-03-15 17:58:02.699731,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Sharon Parker
39,2019-03-15 17:58:12.355975,,,,,,f,,{},text,2,1,Mike Burton: Who do we pick now?
40,2019-03-15 17:58:31.447743,,,,,,f,,{},text,3,1,William Holmes: Scott?
41,2019-03-15 17:58:32.742609,,,,,,f,,{},vote,2,1,Mike Burton: Sandra Reese
42,2019-03-15 17:58:40.703529,,,,,,f,,{},text,2,1,Mike Burton: I voted Sandra out
43,2019-03-15 17:58:42.893127,,,,,,f,,{},text,3,1,William Holmes: Next during the day let's pick Sandra
44,2019-03-15 17:58:52.140558,,,,,,f,,{},text,2,1,Mike Burton: ah shoot i already choose
45,2019-03-15 17:58:53.728908,,,,,,f,,{},text,2,1,Mike Burton: my bad
46,2019-03-15 17:58:55.128843,,,,,,f,,{},text,3,1,"William Holmes: Ok, scott next then"
47,2019-03-15 17:58:58.889055,,,,,,f,,{},text,2,1,Mike Burton: ok
48,2019-03-15 17:59:00.176516,,,,,,f,,{},vote,3,1,William Holmes: Sandra Reese
35,2019-03-15 17:57:44.938549,,,,,,t,2019-03-15 17:59:12.183644,{},vote,9,1,Sandra Reese: Sharon Parker
15,2019-03-15 17:55:58.639402,,,,,,t,2019-03-15 17:59:12.214083,{},text,9,1,"Sandra Reese: I'm a bystander...and a girl, I guess."
49,2019-03-15 17:59:13.144256,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Sandra Reese
50,2019-03-15 17:59:18.199132,,,,,,f,,{},text,13,1,Rodney Maynard: We got one of our own :(  
51,2019-03-15 17:59:20.664081,,,,,,f,,{},vote,3,1,William Holmes: Scott Thomas
