id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-10 23:34:49.98479,,,,,,f,,{},info,1,1,Phase Change to Nighttime
4,2019-03-10 23:35:56.628585,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Paul Gaines
10,2019-03-10 23:36:29.85151,,,,,,f,,{},text,14,1,Alicia Esparza: not me!!
16,2019-03-10 23:36:39.852587,,,,,,f,,{},text,14,1,Alicia Esparza: by cory
26,2019-03-10 23:37:14.381562,,,,,,f,,{},vote,14,1,Alicia Esparza: Cory Barron
38,2019-03-10 23:38:11.21584,,,,,,f,,{},text,14,1,Alicia Esparza: bye jill
39,2019-03-10 23:38:15.613379,,,,,,t,2019-03-10 23:38:36.249228,{},text,10,1,Cory Barron: no hard feelings
37,2019-03-10 23:38:07.8185,,,,,,t,2019-03-10 23:38:36.25918,{},text,10,1,Cory Barron: Well good luck to you all
30,2019-03-10 23:37:29.280784,,,,,,t,2019-03-10 23:38:36.270314,{},text,10,1,Cory Barron: I think you all should worry about Ashley. Why would she single me out?
15,2019-03-10 23:36:37.655913,,,,,,t,2019-03-10 23:38:36.282001,{},text,10,1,Cory Barron: ashley has got to go!
9,2019-03-10 23:36:21.190272,,,,,,t,2019-03-10 23:38:36.292246,{},text,10,1,Cory Barron: hello. not me!
40,2019-03-10 23:38:37.298038,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Cory Barron
32,2019-03-10 23:37:44.062463,,,,,,t,2019-03-10 23:39:45.893414,{},text,8,1,Jill Mcdonald: Yes eliminate me so I can get paid and get away from you losers
24,2019-03-10 23:37:03.539184,,,,,,t,2019-03-10 23:39:45.906261,{},vote,8,1,Jill Mcdonald: Cory Barron
20,2019-03-10 23:36:51.612799,,,,,,t,2019-03-10 23:39:45.915807,{},text,8,1,Jill Mcdonald: see you later cory
11,2019-03-10 23:36:30.372989,,,,,,t,2019-03-10 23:39:45.925519,{},text,8,1,Jill Mcdonald: Im with you Cory is outta there
7,2019-03-10 23:36:14.628514,,,,,,t,2019-03-10 23:39:45.936186,{},text,8,1,Jill Mcdonald: I say we eliminate Danielle Oliver
42,2019-03-10 23:39:46.367141,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Jill Mcdonald
48,2019-03-10 23:40:29.446374,,,,,,f,,{},text,14,1,Alicia Esparza: JIll
56,2019-03-10 23:41:14.381213,,,,,,f,,{},text,14,1,Alicia Esparza: Ashley is history
58,2019-03-10 23:41:46.224598,,,,,,f,,{},vote,14,1,Alicia Esparza: Ashley Stout
6,2019-03-10 23:36:12.623102,,,,,,t,2019-03-10 23:42:26.141704,{},text,15,1,Ashley Stout: Cory Baron. Everyone vote Cory Baron.
