id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-11 01:13:32.19076,,,,,,f,,{},info,1,1,Phase Change to Nighttime
2,2019-03-11 01:14:01.970947,,,,,,f,,{},text,3,1,Jon Gutierrez: Ryan?
3,2019-03-11 01:14:12.855987,,,,,,f,,{},text,4,1,Ryan Russell: Dwayne Lam sounds like a good choice
4,2019-03-11 01:14:19.67112,,,,,,f,,{},text,3,1,Jon Gutierrez: That works for me :) 
5,2019-03-11 01:14:28.216767,,,,,,f,,{},vote,3,1,Jon Gutierrez: Dwayne Lam
6,2019-03-11 01:14:34.529996,,,,,,f,,{},vote,4,1,Ryan Russell: Dwayne Lam
7,2019-03-11 01:14:38.306635,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Dwayne Lam
10,2019-03-11 01:14:48.23575,,,,,,f,,{},text,8,1,Kellie Anderson: Hello
14,2019-03-11 01:15:02.638578,,,,,,f,,{},text,3,1,Jon Gutierrez: Hi there! 
15,2019-03-11 01:15:04.594247,,,,,,f,,{},text,4,1,Ryan Russell: What's up?
16,2019-03-11 01:15:09.112156,,,,,,f,,{},text,4,1,Ryan Russell: How does this work 
19,2019-03-11 01:15:22.310058,,,,,,f,,{},vote,8,1,Kellie Anderson: Joshua Herman
21,2019-03-11 01:15:47.076887,,,,,,f,,{},text,4,1,Ryan Russell: I've been playing it my whole life.  
23,2019-03-11 01:15:56.975344,,,,,,f,,{},text,4,1,Ryan Russell: Kind of natural at this point
24,2019-03-11 01:16:04.015844,,,,,,f,,{},text,3,1,Jon Gutierrez: lol
25,2019-03-11 01:16:05.735313,,,,,,f,,{},text,12,1,Kimberly Stevenson: Howdy y'all
28,2019-03-11 01:16:12.547553,,,,,,f,,{},vote,4,1,Ryan Russell: Joshua Herman
31,2019-03-11 01:16:37.347651,,,,,,f,,{},text,4,1,Ryan Russell: Reminds me of IT.  We all float down here
33,2019-03-11 01:16:44.775354,,,,,,f,,{},vote,12,1,Kimberly Stevenson: Stephanie Espinoza
35,2019-03-11 01:17:06.551623,,,,,,f,,{},vote,3,1,Jon Gutierrez: Joshua Herman
30,2019-03-11 01:16:25.430757,,,,,,t,2019-03-11 01:17:18.615238,{},vote,9,1,Joshua Herman: Ryan Russell
