id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-16 21:02:05.82578,,,,,,f,,{},info,1,1,Phase Change to Nighttime
3,2019-03-16 21:02:56.139866,,,,,,f,,{},vote,2,1,Michael Carter: Steven Davis
4,2019-03-16 21:03:08.303065,,,,,,t,2019-03-16 21:03:10.762885,{},vote,4,1,Steven Davis: Daniel Parks
2,2019-03-16 21:02:45.048419,,,,,,t,2019-03-16 21:03:10.775272,{},text,4,1,Steven Davis: lets eliminate the first name
5,2019-03-16 21:03:11.433316,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Steven Davis
7,2019-03-16 21:03:16.892481,,,,,,f,,{},text,14,1,Dana Wilson: Hello
15,2019-03-16 21:03:39.442622,,,,,,f,,{},text,2,1,Michael Carter: Hey
16,2019-03-16 21:03:46.638814,,,,,,f,,{},vote,14,1,Dana Wilson: Heather French
18,2019-03-16 21:03:53.796405,,,,,,f,,{},vote,2,1,Michael Carter: Heather French
25,2019-03-16 21:04:39.254193,,,,,,f,,{},text,14,1,Dana Wilson: lol
27,2019-03-16 21:05:14.703872,,,,,,t,2019-03-16 21:05:51.377036,{},text,13,1,Heather French: you all will see soon (shrugs)
23,2019-03-16 21:04:14.834282,,,,,,t,2019-03-16 21:05:51.390025,{},text,13,1,Heather French: lol exactly!
21,2019-03-16 21:04:04.058511,,,,,,t,2019-03-16 21:05:51.401639,{},vote,13,1,Heather French: Shannon Ryan
11,2019-03-16 21:03:29.275037,,,,,,t,2019-03-16 21:05:51.412342,{},text,13,1,Heather French: hello
33,2019-03-16 21:05:52.54234,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Heather French
34,2019-03-16 21:06:16.553113,,,,,,f,,{},vote,2,1,Michael Carter: Nancy Garcia
30,2019-03-16 21:05:41.237028,,,,,,t,2019-03-16 21:07:00.725416,{},text,8,1,Nancy Garcia: Feather Hench
28,2019-03-16 21:05:25.22311,,,,,,t,2019-03-16 21:07:00.735624,{},vote,8,1,Nancy Garcia: Heather French
24,2019-03-16 21:04:30.347241,,,,,,t,2019-03-16 21:07:00.74613,{},text,8,1,Nancy Garcia: Heather French sounds appropriate
12,2019-03-16 21:03:30.550664,,,,,,t,2019-03-16 21:07:00.754725,{},text,8,1,Nancy Garcia: good day
35,2019-03-16 21:07:01.111455,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Nancy Garcia
45,2019-03-16 21:08:05.005377,,,,,,f,,{},vote,14,1,Dana Wilson: Mark Johnson MD
46,2019-03-16 21:08:21.02312,,,,,,f,,{},vote,2,1,Michael Carter: Christina Walker
17,2019-03-16 21:03:48.602589,,,,,,t,2019-03-16 21:09:41.458515,{},text,12,1,Mark Johnson MD: Hey 
20,2019-03-16 21:03:57.07357,,,,,,t,2019-03-16 21:09:41.481329,{},vote,12,1,Mark Johnson MD: Heather French
43,2019-03-16 21:07:44.821673,,,,,,t,2019-03-16 21:09:41.503364,{},vote,12,1,Mark Johnson MD: Dana Wilson
