id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-11 21:57:19.163589,,,,,,f,,{},info,1,1,Phase Change to Nighttime
2,2019-03-11 21:57:28.21375,,,,,,f,,{},text,2,1,James Lamb: hello
3,2019-03-11 21:57:58.395197,,,,,,f,,{},vote,2,1,James Lamb: Clinton Sims
4,2019-03-11 21:58:15.142548,,,,,,f,,{},vote,3,1,Eric Fisher: Clinton Sims
5,2019-03-11 21:58:16.599592,,,,,,f,,{},text,3,1,Eric Fisher: oh it started 
6,2019-03-11 21:58:21.232877,,,,,,f,,{},text,3,1,Eric Fisher: oops
7,2019-03-11 21:58:24.875744,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Clinton Sims
8,2019-03-11 21:58:29.003577,,,,,,f,,{},text,2,1,James Lamb: all good
13,2019-03-11 21:58:42.568389,,,,,,f,,{},text,12,1,Daniel Jones: Hello
17,2019-03-11 21:58:46.784856,,,,,,f,,{},text,3,1,Eric Fisher: hello
19,2019-03-11 21:58:53.409245,,,,,,f,,{},text,16,1,Dalton Frazier: Hi
22,2019-03-11 21:59:02.894192,,,,,,f,,{},vote,2,1,James Lamb: James Martin
24,2019-03-11 21:59:34.767618,,,,,,f,,{},vote,12,1,Daniel Jones: Eric Fisher
34,2019-03-11 22:00:52.357187,,,,,,f,,{},vote,3,1,Eric Fisher: James Martin
36,2019-03-11 22:01:03.186991,,,,,,f,,{},vote,16,1,Dalton Frazier: James Lamb
28,2019-03-11 21:59:58.015214,,,,,,t,2019-03-11 22:01:04.517744,{},text,15,1,James Martin: NO
26,2019-03-11 21:59:48.686648,,,,,,t,2019-03-11 22:01:04.540153,{},text,15,1,James Martin: HII
14,2019-03-11 21:58:42.711569,,,,,,t,2019-03-11 22:01:04.552205,{},text,15,1,James Martin: HELLO
10,2019-03-11 21:58:33.128503,,,,,,t,2019-03-11 22:01:04.565436,{},text,15,1,James Martin: HI
9,2019-03-11 21:58:29.947798,,,,,,t,2019-03-11 22:01:04.574632,{},vote,15,1,James Martin: Eric Fisher
