id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-14 19:28:44.827379,,,,,,f,,{},info,1,1,Phase Change to Nighttime
6,2019-03-14 19:29:59.051431,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Scott Mason
15,2019-03-14 19:30:31.136006,,,,,,f,,{},text,13,1,Vanessa Berry: Hello
26,2019-03-14 19:31:00.140269,,,,,,f,,{},text,13,1,Vanessa Berry: I assumed it was a male
36,2019-03-14 19:31:54.749338,,,,,,f,,{},vote,13,1,Vanessa Berry: Richard Walter
34,2019-03-14 19:31:48.582005,,,,,,t,2019-03-14 19:32:37.66832,{},vote,10,1,Amanda Carson: Matthew Ortega
32,2019-03-14 19:31:41.270179,,,,,,t,2019-03-14 19:32:37.676941,{},text,10,1,Amanda Carson: I'll vote Matthew
31,2019-03-14 19:31:34.480757,,,,,,t,2019-03-14 19:32:37.683704,{},text,10,1,Amanda Carson: Trying too hard
29,2019-03-14 19:31:29.269193,,,,,,t,2019-03-14 19:32:37.690257,{},text,10,1,Amanda Carson: I agree. Matthew is
22,2019-03-14 19:30:48.705946,,,,,,t,2019-03-14 19:32:37.696742,{},text,10,1,Amanda Carson: Im just talkative LOL
20,2019-03-14 19:30:43.637686,,,,,,t,2019-03-14 19:32:37.704621,{},text,10,1,Amanda Carson: really
19,2019-03-14 19:30:41.616636,,,,,,t,2019-03-14 19:32:37.712791,{},text,10,1,Amanda Carson: Im not
11,2019-03-14 19:30:19.292841,,,,,,t,2019-03-14 19:32:37.722103,{},text,10,1,"Amanda Carson: Hi, bystanders!  Seems to me if we're smart, and we have more than the mafia, we can win this if we're smart"
39,2019-03-14 19:32:38.777399,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Amanda Carson
12,2019-03-14 19:30:19.556431,,,,,,t,2019-03-14 19:33:47.42038,{},text,7,1,Caroline Hansen: Hey!
33,2019-03-14 19:31:47.187621,,,,,,t,2019-03-14 19:33:47.431521,{},vote,7,1,Caroline Hansen: Matthew Ortega
46,2019-03-14 19:33:47.749039,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Caroline Hansen
48,2019-03-14 19:34:03.187485,,,,,,f,,{},vote,13,1,Vanessa Berry: Richard Walter
54,2019-03-14 19:34:24.687171,,,,,,f,,{},text,13,1,Vanessa Berry: I have my eye on Richard Walter
58,2019-03-14 19:34:53.170401,,,,,,f,,{},text,13,1,Vanessa Berry: How is that funny?
