id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-15 17:48:59.40764,,,,,,f,,{},info,1,1,Phase Change to Nighttime
2,2019-03-15 17:49:21.24135,,,,,,f,,{},text,2,1,Mariah Burke: Hi
4,2019-03-15 17:49:45.543492,,,,,,f,,{},text,2,1,Mariah Burke: Get Mark?
5,2019-03-15 17:49:57.883728,,,,,,f,,{},vote,2,1,Mariah Burke: Mark Parker
6,2019-03-15 17:50:04.862954,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Mark Parker
10,2019-03-15 17:50:27.054075,,,,,,f,,{},text,2,1,Mariah Burke: Poor guy
11,2019-03-15 17:50:30.921929,,,,,,f,,{},text,8,1,Michelle Graham: Glad he's gone. He gave me crabs
17,2019-03-15 17:50:49.838075,,,,,,f,,{},text,8,1,Michelle Graham: Boobs
19,2019-03-15 17:50:54.036884,,,,,,f,,{},text,2,1,"Mariah Burke: Yeah, Elizabeth is lacking some compassion here. Seems like a bad guy imo."
24,2019-03-15 17:51:19.57697,,,,,,f,,{},vote,8,1,Michelle Graham: Jordan Rojas
30,2019-03-15 17:51:40.476378,,,,,,f,,{},text,2,1,Mariah Burke: I bet elizabeth did it. Just look at that evil laugh. Just sayin.
35,2019-03-15 17:52:02.135113,,,,,,f,,{},text,2,1,Mariah Burke: Pitch fork time! Get Elizabeth!
39,2019-03-15 17:52:21.901194,,,,,,f,,{},text,8,1,Michelle Graham: Kill me cause i'm sick of this stupid game
45,2019-03-15 17:52:40.741295,,,,,,t,2019-03-15 17:52:44.782405,{},text,4,1,Elizabeth Saunders: I wanna trade
43,2019-03-15 17:52:33.462851,,,,,,t,2019-03-15 17:52:44.797731,{},text,4,1,Elizabeth Saunders: get me outt
37,2019-03-15 17:52:12.258055,,,,,,t,2019-03-15 17:52:44.808666,{},text,4,1,Elizabeth Saunders: ;)
36,2019-03-15 17:52:08.154955,,,,,,t,2019-03-15 17:52:44.818738,{},text,4,1,Elizabeth Saunders: me and mariah 
