id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-03-16 00:11:10.170523,,,,,,f,,{},info,1,1,Phase Change to Nighttime
2,2019-03-16 00:11:31.384684,,,,,,f,,{},text,2,1,Christine Peterson: Hi
3,2019-03-16 00:11:58.25178,,,,,,f,,{},text,2,1,Christine Peterson: I'm going to vote we eliminate Henry Bowers
4,2019-03-16 00:12:02.354165,,,,,,f,,{},text,3,1,Louis Webb: Hey!
5,2019-03-16 00:12:02.478287,,,,,,f,,{},vote,2,1,Christine Peterson: Henry Bowers
6,2019-03-16 00:12:14.351817,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Henry Bowers
7,2019-03-16 00:12:16.035118,,,,,,f,,{},text,3,1,Louis Webb: me too!
10,2019-03-16 00:12:58.156442,,,,,,f,,{},text,3,1,Louis Webb: No i'm a voter
13,2019-03-16 00:13:05.351266,,,,,,f,,{},text,6,1,Christina Figueroa: justin rivas jr?
14,2019-03-16 00:13:13.258735,,,,,,f,,{},vote,2,1,Christine Peterson: Justin Rivas Jr.
15,2019-03-16 00:13:15.844584,,,,,,f,,{},vote,6,1,Christina Figueroa: Justin Rivas Jr.
17,2019-03-16 00:13:22.048348,,,,,,f,,{},text,7,1,Kevin Pearson: Kevin Pearson
19,2019-03-16 00:13:45.507352,,,,,,f,,{},text,3,1,Louis Webb: lol
21,2019-03-16 00:14:00.929508,,,,,,f,,{},text,3,1,Louis Webb: i agree
24,2019-03-16 00:14:19.788334,,,,,,f,,{},vote,7,1,Kevin Pearson: Justin Rivas Jr.
25,2019-03-16 00:14:21.726491,,,,,,f,,{},vote,3,1,Louis Webb: Abigail Perez
27,2019-03-16 00:14:39.007818,,,,,,t,2019-03-16 00:14:53.714378,{},vote,8,1,Justin Rivas Jr.: Abigail Perez
22,2019-03-16 00:14:02.575723,,,,,,t,2019-03-16 00:14:53.72432,{},text,8,1,Justin Rivas Jr.: so do we want to vote off someone
18,2019-03-16 00:13:36.305215,,,,,,t,2019-03-16 00:14:53.732847,{},text,8,1,Justin Rivas Jr.: that is you right?
16,2019-03-16 00:13:15.981484,,,,,,t,2019-03-16 00:14:53.741889,{},text,8,1,Justin Rivas Jr.: I am a bystander
12,2019-03-16 00:13:01.685209,,,,,,t,2019-03-16 00:14:53.750756,{},text,8,1,Justin Rivas Jr.: who do you think the mafia is
28,2019-03-16 00:14:54.156429,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Justin Rivas Jr.
29,2019-03-16 00:15:10.085815,,,,,,f,,{},text,2,1,Christine Peterson: You completely revealed yourself and they still didn't realize you where mafia the heck lol
30,2019-03-16 00:15:15.947781,,,,,,f,,{},text,3,1,Louis Webb: hahahaha!
31,2019-03-16 00:15:28.487778,,,,,,f,,{},text,2,1,Christine Peterson: Ok so they think it's abigail
32,2019-03-16 00:15:32.208448,,,,,,f,,{},text,2,1,Christine Peterson: let's not vote for them
