Type,Player name,Action,Prediction
vote,Laura Pena,Tina Black ,
vote,Zachary Hurley,Tina Black ,
victim,Tina Black ,,
text,Valerie White,hello ,Hello
text,Diane Jennings,Greetings ,hello
text,Zachary Hurley,hi ,Hello
text,Jeffrey Morris,hey everyone ,Hello
text,Andrea Lee,sup ,hi
text,Laura Pena,hi all ,hi
text,Danielle Silva,Hi ,hi
text,Valerie White,who thinks Johnny is Mafia? ,hi
text,Laura Pena,me ,who do you think is mafia?
text,Zachary Hurley,Sounds like a mafia name to me  ,hi
text,Diane Jennings,I can't say no ,Greetings
text,Valerie White,"haha, yea ",who thinks Johnny is Mafia?
text,Laura Pena,lets kill him ,me too
text,Carol Stone,hi ,I think Laura is mafia
vote,Zachary Hurley,Johnny Stevens ,
text,Diane Jennings,poor Johnny ,Greetings
text,Laura Pena,"carol is a mafia too, i saw it when we were chatting last night ",he looks like a mafia name
vote,Danielle Silva,Valerie White ,
vote,Diane Jennings,Johnny Stevens ,
text,Carol Stone,Or you are and trying to throw them off track ,i think zachary is mafia
text,Laura Pena,yes ,i think daniel is a mafia name too
text,Valerie White,we can get Carol next round ,"i'm not mafia, i'm just trying to throw people"
text,Zachary Hurley,ok ,Sounds like a mafia name to me
text,Laura Pena,i mean no ,i'll go with daniel
vote,Valerie White,Johnny Stevens ,
vote,Jeffrey Morris,Laura Pena ,
vote,Carol Stone,Laura Pena ,
vote,Andrea Lee,Laura Pena ,
text,Diane Jennings,look for the long coat ,Poor guy
victim,Laura Pena ,,
vote,Zachary Hurley,Carol Stone ,
victim,Carol Stone ,,
text,Valerie White,"I got that one wrong, so sorry ",hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
vote,Jeffrey Morris,Valerie White ,
text,Zachary Hurley,?  ,ok
vote,Danielle Silva,Valerie White ,
text,Diane Jennings,interesting turn of events ,Poor guy
text,Jeffrey Morris,"it's okay, you only got them killed ",hmm
vote,Zachary Hurley,Valerie White ,
text,Valerie White,I didn't though ,Jeffrey Morris thinks he's Mafia
vote,Diane Jennings,Valerie White ,
text,Valerie White,going with Johnny again ,lol
vote,Andrea Lee,Valerie White ,
victim,Valerie White ,,
vote,Zachary Hurley,Diane Jennings ,
victim,Diane Jennings ,,
text,Andrea Lee,who did it ,sup
text,Jeffrey Morris,tommy with the butcher knife in the kitchen ,"i'm not mafia, i'm just trying to get people"
vote,Jeffrey Morris,Zachary Hurley ,
text,Zachary Hurley,Johhny boy did it with a ax  ,Jeffrey Morris with the butcher knife in the kitchen?
