,1,2,
68,"hi, all!",0,hi all
79,hi all!,0,
83,nice to meet everyone,0,
99,hello all,0,
113,hi all!,0,
118,nice to meet you all,0,
253,hi everyone! ,0,
877,"hi, everybody!",0,
918,hi everyone!,0,
934,hi everyone,0,
955,hey all,0,
967,thanks to all of you :),0,
985,hi all,0,
1064,hello everyone,0,
1219,hello everyone.,0,
1264,hi everyone,0,
1281,hey everybody,0,
1478,well good luck to you all,0,
1519,well good luck to you all,0,
1598,hello all,0,
1666,hi all,0,
1670,hello everyone,0,
1737,hey all!,0,
1866,hello all,0,
2104,hey everyone,0,
2112,hi all,0,
17,"i say we leave up firstname, his shtick is too terrible",1,(talking about someone else)
36,"or said very lastname, probably leave them for now",1,
107,"so far so good, but maybe we shouldn't have gotten rid of firstname so soon. my bad",1,
380,should we still go for mr. lastname?,1,
438,should we keep firstname in since he seems supicious?,1,
515,firstname lastname don't sound like a cool cat...,1,
516,word on the street is firstname lastname ain't cut like the rest of us,1,
611,lastname was too willing to go after lastname,1,
613,i agree with lastname,1,
717,i feel so bad for firstname,1,
722,so much for my lastname ideas,1,
951,lastname is trying to turn  you against me so he can kill you himself.,1,
990,you guys are kind of pushing firstname,1,
1008,"yeah, never trust someone with ttwo first names.",1,
1045,i felt firstname was too pushy,1,
1091,we off'd one of our own... seems firstname lastname needs to go now..,1,
1157,"agreed, lastname was very quick to throw her under the bus. ",1,
1162,lastname sounds like it,1,
1379,"though, lastname is a gross sounding name, so fair i guess",1,
1495,firstname lastname sounds shifty...oh wait.,1,
1682,maybe firstname lastname but he changed choices this time maybe to throw off,1,
1779,"yeah, firstname is lacking some compassion here. seems like a bad guy imo.",1,
1798,good job firstname. feeling like a lastname murder today?,1,
1807,"wow, good job firstname, still killing without retribution i see.",1,
1853,firstname lastname sounds like a hard core name.,1,
2051,"good enough for me, firstname lastname sleeps with the fishes tonight.",1,
2055,"one name is as good as another at this point, i guess",1,
2067,"well, we were building some firstname momentum last time",1,
2097,i think we lastname be racists,1,
2190,i just have that feeling about firstname,1,
180,hahahahaha,2,haha
206,haha,2,
262,haha,2,
379,haha yes,2,
543,haha yes,2,
546,haha you too,2,
706,hahahaha,2,
783,haha,2,
939,haha,2,
945,haha,2,
961,haha,2,
977,haha,2,
1082,ha,2,
1097,hahaha,2,
1146,try..hahahah,2,
1223,heheh,2,
1288,awww,2,
1590,haha didn't see that coming....,2,
1747,hahaha,2,
1791,hahaha,2,
1793,hahaha,2,
1895,haha,2,
1931,hahahaha!,2,
2118,"haha, yea",2,
69,firstname?,3,(firstname)
92,firstname,3,
188,rip firstname,3,
200,firstname?,3,
209,firstname,3,
230,firstname,3,
361,mr. firstname,3,
384,firstname,3,
410,rip firstname,3,
417,firstname,3,
429,lol firstname,3,
470,firstname?,3,
511,firstname man,3,
560,firstname,3,
635,firstname,3,
739,hi firstname,3,
776,firstname,3,
841,firstname?,3,
922,firstname?,3,
969,hi firstname,3,
999,firstname,3,
1077,firstname,3,
1081,ty firstname,3,
1159,firstname firstname,3,
1204,firstname?,3,
1206,firstname,3,
1298,firstname,3,
1320,firstname?,3,
1406,firstname?,3,
1421,firstname?,3,
1468,boo firstname,3,
1475,by firstname,3,
1493,firstname,3,
1501,firstname for certain,3,
1504,firstname,3,
1513,firstname,3,
1514,firstname?,3,
1515,firstname,3,
1517,firstname,3,
1531,yes firstname,3,
1533,firstname,3,
1536,firstname?,3,
1572,firstname this time?,3,
1766,"er,firstname*",3,
1775,get firstname?,3,
1821,firstname huh,3,
1829,firstname,3,
1830,firstname?,3,
1835,lol firstname. ,3,
1876,firstname,3,
1905,"really, firstname?",3,
1982,rip firstname,3,
2009,firstname,3,
2031,firstname.,3,
2064,firstname firstname?,3,
2101,firstname,3,
2138,firstname?,3,
2187,firstname,3,
2193,rip firstname,3,
2,if you can vote that means you must be in the mafia.,4,contains mafia or criminal
3,looks like this should be a win for the mafia if i'm eliminated,4,
23,ok. nice being a criminal with you.,4,
481,you just know i'm not mafia so i'm being targeted,4,
963,are you sure he wasn't trying to vote me out during your secret mafia meeting?,4,
1118,we needed to vote someone off to kill the mafia,4,
1182,"if i were a member of the mafia, why would i vote to have a fellow mafioso eliminated? clearly i'm a bystander. ",4,
1578,i think our mafia member radars are off,4,
1930,you completely revealed yourself and they still didn't realize you where mafia the heck lol,4,
1981,not much to go off of unless you're mafia tbh,4,
1988,"wow i figured i was just gonna get mafia'd, i'm a bystander, good luck guys",4,
2022,yeah i'm mafia vote for me,4,
2088,nice being criminals with you.,4,
19,yo,5,yo
61,oof,5,
204,see ya greg,5,
213,get ya,5,
251,jeffery,5,
367,y?,5,
506,hy,5,
605,yo,5,
830,yeet,5,
1137,mornin folks!,5,
1191,which one of ya is it,5,
1372,yo,5,
1472,aw poo,5,
1546,howdy y'all,5,
1620,yo,5,
1784,get me outt,5,
1792,yeeeet,5,
1911,yo,5,
1975,yo what's up,5,
2070,ello,5,
140,left,6,(contains still or left)
400,i doubt he's still watching,6,
401,he should be at the end game screen now.,6,
775,well they win as soon as they have as many members as there are bystanders left,6,
817,8 people left?,6,
1029,who's even left??,6,
1303,"well who is left, what do you all think, who could it be",6,
1877,80secs left,6,
1970,trump 2020,6,
71,alright,7,ok
215,okays,7,
323,okay then,7,
440,ok,7,
535,ok i will be more explicit ,7,
633,ok,7,
643,ok,7,
665,ok,7,
710,ok,7,
757,ok!,7,
759,ok,7,
772,ok,7,
867,okay,7,
957,okay,7,
1149,ok,7,
1407,ok,7,
1427,ok,7,
1441,ok,7,
1669,ok,7,
1696,ok i'm finish,7,
1868,alrighty,7,
1872,ok,7,
1936,ok,7,
1953,ok,7,
2000,okay,7,
2049,okay,7,
2132,ok,7,
2140,ok,7,
2143,alright.,7,
9,hi,8,hi
10,hi,8,
22,hi,8,
26,hi,8,
50,hi ,8,
81,hi,8,
104,hi,8,
117,hi,8,
147,hi!,8,
149,hi yall,8,
178,hi there,8,
210,hi,8,
212,hi,8,
220,hi,8,
224,hi,8,
246,hi! ,8,
257,hi,8,
283,hi!,8,
288,hi,8,
289,hi ,8,
324,hi,8,
362,hi!,8,
524,hi,8,
547,hi!,8,
561,hi,8,
590,hi,8,
683,hi!,8,
702,hi,8,
704,hi,8,
720,hi,8,
792,hi,8,
796,hi,8,
824,hi,8,
886,hi,8,
935,hi,8,
938,hi,8,
980,hi,8,
1003,hi.,8,
1019,hi,8,
1023,hi!,8,
1042,hi,8,
1065,hio,8,
1093,hi,8,
1096,hi,8,
1099,hi,8,
1101,hi ,8,
1136,hi,8,
1165,hi,8,
1166,hi,8,
1220,hi,8,
1273,hi,8,
1274,hi,8,
1285,hi,8,
1313,hi,8,
1368,hi,8,
1370,hi again,8,
1371,hi,8,
1374,hi,8,
1375,hi,8,
1377,hi,8,
1378,hi,8,
1390,hi,8,
1391,hi,8,
1392,hi,8,
1393,hi,8,
1395,hi!,8,
1396,hi,8,
1397,hi,8,
1398,hi,8,
