,game_id,player_name,accumulated_messages,current_turn_player_message
0,1715bc7f-927a-038a-0dc9-b93ee720a4df-data,Player 2,<phase change> Nighttime <player name> Player 2 <text> ,"hi!, who do you want to elimate? "
1,1715bc7f-927a-038a-0dc9-b93ee720a4df-data,Player 2,"<phase change> Nighttime <player name> Player 2 <text> hi!, who do you want to elimate? <phase change> Daytime <player name> Player 12 <text> day <player name> Player 12 <text> hi <player name> Player 14 <text> Player 11 <player name> Player 11 <text> hello all <player name> Player 2 <text> ",hi all! 
2,1715bc7f-927a-038a-0dc9-b93ee720a4df-data,Player 2,"<phase change> Nighttime <player name> Player 2 <text> hi!, who do you want to elimate? <phase change> Daytime <player name> Player 12 <text> day <player name> Player 12 <text> hi <player name> Player 14 <text> Player 11 <player name> Player 11 <text> hello all <player name> Player 2 <text> hi all! <player name> Player 14 <vote> Player 9 <player name> Player 3 <text> You pick please <player name> Player 10 <text> hi <player name> Player 5 <text> hi all! <player name> Player 14 <text> hi <player name> Player 3 <text> Hello <player name> Player 7 <vote> Player 11 <player name> Player 12 <text> nice to meet you all <player name> Player 13 <text> hola <player name> Player 3 <vote> Player 11 <player name> Player 11 <vote> Player 9 <player name> Player 2 <text> ",nice to meet everyone 
3,1715bc7f-927a-038a-0dc9-b93ee720a4df-data,Player 2,"<phase change> Nighttime <player name> Player 2 <text> hi!, who do you want to elimate? <phase change> Daytime <player name> Player 12 <text> day <player name> Player 12 <text> hi <player name> Player 14 <text> Player 11 <player name> Player 11 <text> hello all <player name> Player 2 <text> hi all! <player name> Player 14 <vote> Player 9 <player name> Player 3 <text> You pick please <player name> Player 10 <text> hi <player name> Player 5 <text> hi all! <player name> Player 14 <text> hi <player name> Player 3 <text> Hello <player name> Player 7 <vote> Player 11 <player name> Player 12 <text> nice to meet you all <player name> Player 13 <text> hola <player name> Player 3 <vote> Player 11 <player name> Player 11 <vote> Player 9 <player name> Player 2 <text> nice to meet everyone <player name> Player 10 <vote> Player 9 <player name> Player 3 <text> why are you guys picking before we talk about it? <player name> Player 11 <text> i barra going to beat you up <player name> Player 13 <vote> Player 9 <player name> Player 11 <text> Player 12 are you related to Jet <player name> Player 3 <text> that's Jet Li <player name> Player 7 <text> Why is everyone choosing Player 9? <player name> Player 2 <text> ",Player 11 as in the failed politician? lol 
4,1715bc7f-927a-038a-0dc9-b93ee720a4df-data,Player 2,"<phase change> Nighttime <player name> Player 2 <text> hi!, who do you want to elimate? <phase change> Daytime <player name> Player 12 <text> day <player name> Player 12 <text> hi <player name> Player 14 <text> Player 11 <player name> Player 11 <text> hello all <player name> Player 2 <text> hi all! <player name> Player 14 <vote> Player 9 <player name> Player 3 <text> You pick please <player name> Player 10 <text> hi <player name> Player 5 <text> hi all! <player name> Player 14 <text> hi <player name> Player 3 <text> Hello <player name> Player 7 <vote> Player 11 <player name> Player 12 <text> nice to meet you all <player name> Player 13 <text> hola <player name> Player 3 <vote> Player 11 <player name> Player 11 <vote> Player 9 <player name> Player 2 <text> nice to meet everyone <player name> Player 10 <vote> Player 9 <player name> Player 3 <text> why are you guys picking before we talk about it? <player name> Player 11 <text> i barra going to beat you up <player name> Player 13 <vote> Player 9 <player name> Player 11 <text> Player 12 are you related to Jet <player name> Player 3 <text> that's Jet Li <player name> Player 7 <text> Why is everyone choosing Player 9? <player name> Player 2 <text> Player 11 as in the failed politician? lol <player name> Player 10 <text> she isn't talking sounds like a mob goon to me <player name> Player 11 <text> why did you choose me <player name> Player 11 <text> you are right my mistake <player name> Player 5 <vote> Player 11 <phase change> Nighttime <victim> Player 9 <player name> Player 9 <text> oh <player name> Player 3 <text> who do you want to select? <player name> Player 2 <text> ",who was deleted in the day part? 
5,1715bc7f-927a-038a-0dc9-b93ee720a4df-data,Player 2,"<phase change> Nighttime <player name> Player 2 <text> hi!, who do you want to elimate? <phase change> Daytime <player name> Player 12 <text> day <player name> Player 12 <text> hi <player name> Player 14 <text> Player 11 <player name> Player 11 <text> hello all <player name> Player 2 <text> hi all! <player name> Player 14 <vote> Player 9 <player name> Player 3 <text> You pick please <player name> Player 10 <text> hi <player name> Player 5 <text> hi all! <player name> Player 14 <text> hi <player name> Player 3 <text> Hello <player name> Player 7 <vote> Player 11 <player name> Player 12 <text> nice to meet you all <player name> Player 13 <text> hola <player name> Player 3 <vote> Player 11 <player name> Player 11 <vote> Player 9 <player name> Player 2 <text> nice to meet everyone <player name> Player 10 <vote> Player 9 <player name> Player 3 <text> why are you guys picking before we talk about it? <player name> Player 11 <text> i barra going to beat you up <player name> Player 13 <vote> Player 9 <player name> Player 11 <text> Player 12 are you related to Jet <player name> Player 3 <text> that's Jet Li <player name> Player 7 <text> Why is everyone choosing Player 9? <player name> Player 2 <text> Player 11 as in the failed politician? lol <player name> Player 10 <text> she isn't talking sounds like a mob goon to me <player name> Player 11 <text> why did you choose me <player name> Player 11 <text> you are right my mistake <player name> Player 5 <vote> Player 11 <phase change> Nighttime <victim> Player 9 <player name> Player 9 <text> oh <player name> Player 3 <text> who do you want to select? <player name> Player 2 <text> who was deleted in the day part? <player name> Player 2 <text> ",let's do Player 9 or Player 11  
6,1715bc7f-927a-038a-0dc9-b93ee720a4df-data,Player 2,"<phase change> Nighttime <player name> Player 2 <text> hi!, who do you want to elimate? <phase change> Daytime <player name> Player 12 <text> day <player name> Player 12 <text> hi <player name> Player 14 <text> Player 11 <player name> Player 11 <text> hello all <player name> Player 2 <text> hi all! <player name> Player 14 <vote> Player 9 <player name> Player 3 <text> You pick please <player name> Player 10 <text> hi <player name> Player 5 <text> hi all! <player name> Player 14 <text> hi <player name> Player 3 <text> Hello <player name> Player 7 <vote> Player 11 <player name> Player 12 <text> nice to meet you all <player name> Player 13 <text> hola <player name> Player 3 <vote> Player 11 <player name> Player 11 <vote> Player 9 <player name> Player 2 <text> nice to meet everyone <player name> Player 10 <vote> Player 9 <player name> Player 3 <text> why are you guys picking before we talk about it? <player name> Player 11 <text> i barra going to beat you up <player name> Player 13 <vote> Player 9 <player name> Player 11 <text> Player 12 are you related to Jet <player name> Player 3 <text> that's Jet Li <player name> Player 7 <text> Why is everyone choosing Player 9? <player name> Player 2 <text> Player 11 as in the failed politician? lol <player name> Player 10 <text> she isn't talking sounds like a mob goon to me <player name> Player 11 <text> why did you choose me <player name> Player 11 <text> you are right my mistake <player name> Player 5 <vote> Player 11 <phase change> Nighttime <victim> Player 9 <player name> Player 9 <text> oh <player name> Player 3 <text> who do you want to select? <player name> Player 2 <text> who was deleted in the day part? <player name> Player 2 <text> let's do Player 9 or Player 11  <player name> Player 3 <text> Player 9 <player name> Player 3 <text> Player 11 then <player name> Player 3 <vote> Player 11 <player name> Player 2 <vote> ",Player 11 
7,1715bc7f-927a-038a-0dc9-b93ee720a4df-data,Player 2,"<phase change> Nighttime <player name> Player 2 <text> hi!, who do you want to elimate? <phase change> Daytime <player name> Player 12 <text> day <player name> Player 12 <text> hi <player name> Player 14 <text> Player 11 <player name> Player 11 <text> hello all <player name> Player 2 <text> hi all! <player name> Player 14 <vote> Player 9 <player name> Player 3 <text> You pick please <player name> Player 10 <text> hi <player name> Player 5 <text> hi all! <player name> Player 14 <text> hi <player name> Player 3 <text> Hello <player name> Player 7 <vote> Player 11 <player name> Player 12 <text> nice to meet you all <player name> Player 13 <text> hola <player name> Player 3 <vote> Player 11 <player name> Player 11 <vote> Player 9 <player name> Player 2 <text> nice to meet everyone <player name> Player 10 <vote> Player 9 <player name> Player 3 <text> why are you guys picking before we talk about it? <player name> Player 11 <text> i barra going to beat you up <player name> Player 13 <vote> Player 9 <player name> Player 11 <text> Player 12 are you related to Jet <player name> Player 3 <text> that's Jet Li <player name> Player 7 <text> Why is everyone choosing Player 9? <player name> Player 2 <text> Player 11 as in the failed politician? lol <player name> Player 10 <text> she isn't talking sounds like a mob goon to me <player name> Player 11 <text> why did you choose me <player name> Player 11 <text> you are right my mistake <player name> Player 5 <vote> Player 11 <phase change> Nighttime <victim> Player 9 <player name> Player 9 <text> oh <player name> Player 3 <text> who do you want to select? <player name> Player 2 <text> who was deleted in the day part? <player name> Player 2 <text> let's do Player 9 or Player 11  <player name> Player 3 <text> Player 9 <player name> Player 3 <text> Player 11 then <player name> Player 3 <vote> Player 11 <player name> Player 2 <vote> Player 11 <player name> Player 2 <text> ",good for me 
8,1715bc7f-927a-038a-0dc9-b93ee720a4df-data,Player 2,"<phase change> Nighttime <player name> Player 2 <text> hi!, who do you want to elimate? <phase change> Daytime <player name> Player 12 <text> day <player name> Player 12 <text> hi <player name> Player 14 <text> Player 11 <player name> Player 11 <text> hello all <player name> Player 2 <text> hi all! <player name> Player 14 <vote> Player 9 <player name> Player 3 <text> You pick please <player name> Player 10 <text> hi <player name> Player 5 <text> hi all! <player name> Player 14 <text> hi <player name> Player 3 <text> Hello <player name> Player 7 <vote> Player 11 <player name> Player 12 <text> nice to meet you all <player name> Player 13 <text> hola <player name> Player 3 <vote> Player 11 <player name> Player 11 <vote> Player 9 <player name> Player 2 <text> nice to meet everyone <player name> Player 10 <vote> Player 9 <player name> Player 3 <text> why are you guys picking before we talk about it? <player name> Player 11 <text> i barra going to beat you up <player name> Player 13 <vote> Player 9 <player name> Player 11 <text> Player 12 are you related to Jet <player name> Player 3 <text> that's Jet Li <player name> Player 7 <text> Why is everyone choosing Player 9? <player name> Player 2 <text> Player 11 as in the failed politician? lol <player name> Player 10 <text> she isn't talking sounds like a mob goon to me <player name> Player 11 <text> why did you choose me <player name> Player 11 <text> you are right my mistake <player name> Player 5 <vote> Player 11 <phase change> Nighttime <victim> Player 9 <player name> Player 9 <text> oh <player name> Player 3 <text> who do you want to select? <player name> Player 2 <text> who was deleted in the day part? <player name> Player 2 <text> let's do Player 9 or Player 11  <player name> Player 3 <text> Player 9 <player name> Player 3 <text> Player 11 then <player name> Player 3 <vote> Player 11 <player name> Player 2 <vote> Player 11 <player name> Player 2 <text> good for me <phase change> Daytime <victim> Player 11 <player name> Player 7 <text> Well now I feel bad <player name> Player 14 <vote> Player 13 <player name> Player 3 <text> I missed you guys <player name> Player 10 <text> why'd the mob whack the person everyone was voting for they should've left him alive to distract from them <player name> Player 5 <text> hmm <player name> Player 14 <text> Player 7 <player name> Player 13 <vote> Player 14 <player name> Player 7 <text> I'm going with Player 13 on this one <player name> Player 7 <vote> Player 14 <player name> Player 3 <vote> Player 14 <player name> Player 5 <text> Player 14 was the first voter last time... <player name> Player 2 <text> ",I wonder if Player 14 is related to john Player 14 the astronaut?  
9,1715bc7f-927a-038a-0dc9-b93ee720a4df-data,Player 2,"<phase change> Nighttime <player name> Player 2 <text> hi!, who do you want to elimate? <phase change> Daytime <player name> Player 12 <text> day <player name> Player 12 <text> hi <player name> Player 14 <text> Player 11 <player name> Player 11 <text> hello all <player name> Player 2 <text> hi all! <player name> Player 14 <vote> Player 9 <player name> Player 3 <text> You pick please <player name> Player 10 <text> hi <player name> Player 5 <text> hi all! <player name> Player 14 <text> hi <player name> Player 3 <text> Hello <player name> Player 7 <vote> Player 11 <player name> Player 12 <text> nice to meet you all <player name> Player 13 <text> hola <player name> Player 3 <vote> Player 11 <player name> Player 11 <vote> Player 9 <player name> Player 2 <text> nice to meet everyone <player name> Player 10 <vote> Player 9 <player name> Player 3 <text> why are you guys picking before we talk about it? <player name> Player 11 <text> i barra going to beat you up <player name> Player 13 <vote> Player 9 <player name> Player 11 <text> Player 12 are you related to Jet <player name> Player 3 <text> that's Jet Li <player name> Player 7 <text> Why is everyone choosing Player 9? <player name> Player 2 <text> Player 11 as in the failed politician? lol <player name> Player 10 <text> she isn't talking sounds like a mob goon to me <player name> Player 11 <text> why did you choose me <player name> Player 11 <text> you are right my mistake <player name> Player 5 <vote> Player 11 <phase change> Nighttime <victim> Player 9 <player name> Player 9 <text> oh <player name> Player 3 <text> who do you want to select? <player name> Player 2 <text> who was deleted in the day part? <player name> Player 2 <text> let's do Player 9 or Player 11  <player name> Player 3 <text> Player 9 <player name> Player 3 <text> Player 11 then <player name> Player 3 <vote> Player 11 <player name> Player 2 <vote> Player 11 <player name> Player 2 <text> good for me <phase change> Daytime <victim> Player 11 <player name> Player 7 <text> Well now I feel bad <player name> Player 14 <vote> Player 13 <player name> Player 3 <text> I missed you guys <player name> Player 10 <text> why'd the mob whack the person everyone was voting for they should've left him alive to distract from them <player name> Player 5 <text> hmm <player name> Player 14 <text> Player 7 <player name> Player 13 <vote> Player 14 <player name> Player 7 <text> I'm going with Player 13 on this one <player name> Player 7 <vote> Player 14 <player name> Player 3 <vote> Player 14 <player name> Player 5 <text> Player 14 was the first voter last time... <player name> Player 2 <text> I wonder if Player 14 is related to john Player 14 the astronaut?  <player name> Player 14 <text> what is happening <player name> Player 13 <text> yeah he's been the first voter twice <player name> Player 10 <vote> Player 13 <phase change> Nighttime <victim> Player 14 <player name> Player 2 <vote> ",Player 14 
