contents,lower_contents
1,1
12,12
12,12
16,16
  Cory is dead weight,  cory is dead weight
  I've never heard of a mafiosa named Danielle,  i've never heard of a mafiosa named danielle
  Well we made it threw the night lol,  well we made it threw the night lol
 !, !
 !, !
 *sigh*, *sigh*
 .... my spelling sucks., .... my spelling sucks.
 /, /
 :-( sorry., :-( sorry.
 :), :)
 :), :)
 :/ i'm not mafia... , :/ i'm not mafia... 
 :D, :d
 ;), ;)
 ;), ;)
 ?, ?
 ? , ? 
 ??, ??
 ^, ^
 <3, <3
 <3, <3
 <-clearly evil mastermind. , <-clearly evil mastermind. 
 1 or more, 1 or more
 100 % ASHLEY, 100 % ashley
 100% cynthia, 100% cynthia
 30 secs, 30 secs
 39 minutes and no bonus...might be underpaid? lol, 39 minutes and no bonus...might be underpaid? lol
 4 votes? people afk?, 4 votes? people afk?
 40 seconds for me, 40 seconds for me
 8 people left?, 8 people left?
 80secs left, 80secs left
 A bidnessman!, a bidnessman!
 A bit too eager..., a bit too eager...
 a hoarse horse, a hoarse horse
 aaahhh...I didn't even know what I was doing, aaahhh...i didn't even know what i was doing
 Aaron Morse is scary., aaron morse is scary.
 Aaron Morse keeps suggesting and eliminating bystanders, aaron morse keeps suggesting and eliminating bystanders
 Aaron wanted Kevin Morales gone., aaron wanted kevin morales gone.
 aaron?, aaron?
 ABIGAIL, abigail
 abigail perez is mafia, abigail perez is mafia
 Abigail total mafia name and awfully quit, abigail total mafia name and awfully quit
 Abigail Woods, abigail woods
 Adam williams, adam williams
 agree, agree
 agree how are we supposed to play this game over a chat box haha, agree how are we supposed to play this game over a chat box haha
 agreed, agreed
" Agreed, Baldwin was very quick to throw her under the bus. "," agreed, baldwin was very quick to throw her under the bus. "
 Agreed. Amanda is mafia., agreed. amanda is mafia.
 ah shoot i already choose, ah shoot i already choose
 ah WAIT, ah wait
 ah! can't vote for myself, ah! can't vote for myself
 alicia 100% must go, alicia 100% must go
 all good, all good
 all respoded, all respoded
 All right you pick, all right you pick
