time,name,type,message
07:20:16,P 8,text,this is a try
25:07:73,P 8,text,dfd
25:08:73,P 8,text,dfd
25:09:73,P 8,text,dfd
25:10:73,P 8,text,dfd
25:11:73,P 8,text,dfd
25:12:73,P 8,text,dfd
25:13:73,P 8,text,dfd
25:14:73,P 8,text,dfd
25:15:74,P 8,text,dfd
25:16:73,P 8,text,dfd
25:17:73,P 8,text,dfd
25:18:73,P 8,text,dfd
25:19:74,P 8,text,dfd
27:57:48,A a,text,hello!
27:59:38,A a,text,wasdd
28:00:65,A a,text,gfdgsv
28:02:08,A a,text,fgewer
28:03:40,A a,text,hyety
28:05:04,A a,text,yhrtyh
28:10:51,A a,text,vsdrfser
28:11:51,A a,text,vsdrfser
28:12:51,A a,text,vsdrfser
28:13:51,A a,text,vsdrfser
28:14:51,A a,text,vsdrfser
28:15:76,A a,text,vsdrfser
28:16:51,A a,text,vsdrfser
28:17:51,A a,text,vsdrfser
28:18:51,A a,text,vsdrfser
28:19:51,A a,text,vsdrfser
28:20:51,A a,text,vsdrfser
28:21:51,A a,text,vsdrfser
